interaction_id,target_no,group,protein,receptor,structure_filename,structure_source,model_type,structure_format,available
T1_ANXA2,1,1,ANXA2,TROP2 / TACSTD2,1Test1_NINTH_f8991_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_LGALS3BP,1,2,LGALS3BP,TROP2 / TACSTD2,1Test2_ad417_2_1Test2_ad417_2_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_SDCBP,1,3,SDCBP,TROP2 / TACSTD2,1Test3_476af_1Test3_476af_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_FN1,1,4,FN1,TROP2 / TACSTD2,fold_1_test_4_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T1_MFGE8,1,5,MFGE8,TROP2 / TACSTD2,1test5_be13f_1test5_be13f_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_GAPDH,1,6,GAPDH,TROP2 / TACSTD2,1test6_SIXTH_b0b40_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_LDHA,1,7,LDHA,TROP2 / TACSTD2,1test7_4472a_1test7_4472a_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_PGK1,1,8,PGK1,TROP2 / TACSTD2,1test8_f363a_1test8_f363a_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_ALDOA,1,9,ALDOA,TROP2 / TACSTD2,1test9_fbeca_1test9_fbeca_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T1_ENO1,1,10,ENO1,TROP2 / TACSTD2,1test10_a76c9_1test10_a76c9_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T2_ANXA2,2,1,ANXA2,EGFR,2test1_83a14_0_2test1_83a14_0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T2_LGALS3BP,2,2,LGALS3BP,EGFR,2test2_i_2test2_9bd1a_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
T2_FN1,2,3,FN1,EGFR,fold_2_test_3_model_0.pdb,AlphaFold3,alphafold3,pdb,True
T2_MFGE8,2,4,MFGE8,EGFR,2test4_dac3e_2test4_dac3e_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,ColabFold (AlphaFold2-Multimer),alphafold2_multimer_v3,pdb,True
