Target No.,Receptor,Group,Group_AB,Protein,AFS,PS,SS,Coverage,TPS,Rank,In_shortlist,Exclusion_reason,BS_flag
6,αvβ3 integrin / ITGAV–ITGB3,2,A,MFGE8,0.6205921272127174,,0.985,2/3,0.8027960636063587,1,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,3,A,THBS1,0.5143940362544176,,0.999,2/3,0.7566970181272088,2,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,4,A,ITGB1,0.5055263753232279,,0.999,2/3,0.7522631876616138,3,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,5,A,ITGA6,0.5622191579736671,,0.915,2/3,0.7386095789868335,4,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,7,B,PGK1,0.7373216428734515,,,1/3,0.7373216428734515,5,False,coverage 1/3 (AFS-only) < 2/3 threshold,Low
16,ROR1,5,A,MFGE8,0.5907057706210792,0.8412121212121211,,2/3,0.7159589459166001,6,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,1,A,FN1,0.4178405693003784,,0.999,2/3,0.7084202846501891,7,True,,High
6,αvβ3 integrin / ITGAV–ITGB3,10,B,ENO1,0.7023350155985557,,,1/3,0.7023350155985557,8,False,coverage 1/3 (AFS-only) < 2/3 threshold,Medium
6,αvβ3 integrin / ITGAV–ITGB3,9,B,LDHA,0.6398328801576909,,,1/3,0.6398328801576909,9,False,coverage 1/3 (AFS-only) < 2/3 threshold,Low
6,αvβ3 integrin / ITGAV–ITGB3,8,B,ALDOA,0.6398148108139572,,,1/3,0.6398148108139572,10,False,coverage 1/3 (AFS-only) < 2/3 threshold,Low
13,CD44,1,A,FN1,0.278694328502755,,0.999,2/3,0.6388471642513774,11,True,,High
2,EGFR,3,A,FN1,0.3248753062431472,,0.944,2/3,0.6344376531215736,12,True,,High
15,MET / c-MET,8,B,PGK1,0.664588173142931,0.5963636363636363,,2/3,0.6304759047532836,13,True,,Low
2,EGFR,6,B,GAPDH,0.2562380909259328,,0.955,2/3,0.6056190454629663,14,True,,Medium
5,ICAM1 / CD54,1,A,ITGB1,0.2396363527212077,,0.967,2/3,0.6033181763606038,15,True,,High
10,GPNMB,3,A,THBS1,0.1982884603196233,1.0,,2/3,0.5991442301598117,16,True,,High
17,RON / MST1R,5,A,THBS1,0.6584222296008606,0.5333333333333332,,2/3,0.5958777814670969,17,True,,High
19,IGF1R,9,B,PGK1,0.190288985325124,1.0,,2/3,0.595144492662562,18,True,,Low
13,CD44,4,A,THBS1,0.3454360558364661,0.5769696969696969,0.767,3/3,0.5631352509353876,19,True,,High
20,CXCR4,1,A,FN1,0.2637290195858565,,0.857,2/3,0.5603645097929282,20,True,,High
3,EpCAM / EPCAM,5,A,CD44,0.2265869822485463,0.4751515151515151,0.971,3/3,0.5575794991333538,21,True,,High
19,IGF1R,1,A,FN1,0.2293399644358635,,0.875,2/3,0.5521699822179318,22,True,,High
12,PD-L1 / CD274,10,B,TPI1,0.9308997725291264,0.1503030303030303,,2/3,0.5406014014160783,23,True,,Low
3,EpCAM / EPCAM,1,A,ANXA2,0.963858538498648,0.1721212121212121,0.469,3/3,0.5349932502066199,24,True,,Medium
5,ICAM1 / CD54,3,A,FN1,0.1497985749095227,,0.904,2/3,0.5268992874547614,25,True,,High
13,CD44,5,A,LGALS3BP,0.7544695742269375,0.2642424242424243,0.549,3/3,0.522570666156454,26,True,,High
4,Tissue Factor / F3,10,B,ALDOA,0.3606799458745305,0.6763636363636363,,2/3,0.5185217911190834,27,True,,Low
2,EGFR,1,A,ANXA2,0.2767300385170776,0.3127272727272727,0.958,3/3,0.5158191037481168,28,True,,Medium
19,IGF1R,3,A,ANXA2,0.2448343644132957,0.7539393939393939,,2/3,0.4993868791763447,29,True,,Medium
15,MET / c-MET,1,A,FN1,0.2372129327745619,,0.745,2/3,0.4911064663872809,30,True,,High
17,RON / MST1R,4,A,MFGE8,0.3721013263779922,0.606060606060606,,2/3,0.489080966219299,31,True,,High
4,Tissue Factor / F3,1,A,FN1,0.2469370975647152,,0.711,2/3,0.4789685487823576,32,True,,High
13,CD44,2,A,ITGB1,0.2517381371488561,0.2254545454545454,0.957,3/3,0.4780642275344671,33,True,,High
13,CD44,10,B,PKM,0.3063304391231785,0.1503030303030303,0.965,3/3,0.4738778231420696,34,True,,Low
20,CXCR4,5,A,ITGB1,0.3314457445069365,0.2521212121212121,0.819,3/3,0.4675223188760494,35,True,,High
2,EGFR,5,A,SDCBP,0.2548936225650591,0.2666666666666666,0.856,3/3,0.4591867630772419,36,True,,Medium
19,IGF1R,2,A,ITGB1,0.2849920498634852,0.2278787878787879,0.836,3/3,0.4496236125807576,37,True,,High
5,ICAM1 / CD54,5,A,THBS1,0.2251908898207584,,0.67,2/3,0.4475954449103791,38,True,,High
18,CSPG4,1,A,FN1,0.2373253801005681,,0.649,2/3,0.4431626900502841,39,True,,High
19,IGF1R,4,A,MFGE8,0.2258805279308576,0.6569696969696969,,2/3,0.4414251124502772,40,True,,High
3,EpCAM / EPCAM,3,A,SDCBP,0.289089185977816,0.5818181818181818,,2/3,0.4354536838979988,41,True,,Medium
20,CXCR4,9,B,ALDOA,0.3321468188571589,0.5333333333333332,,2/3,0.432740076095246,42,True,,Low
13,CD44,6,B,GAPDH,0.401874830075194,0.1503030303030303,0.745,3/3,0.4323926201260747,43,True,,Medium
14,AXL,5,A,LGALS3BP,0.2541232556503021,0.6084848484848484,,2/3,0.4313040520675752,44,True,,High
4,Tissue Factor / F3,2,A,THBS1,0.2669149400980778,0.3951515151515151,0.631,3/3,0.4310221517498642,45,True,,High
20,CXCR4,6,B,GAPDH,0.403921898272594,0.2351515151515152,0.635,3/3,0.4246911378080363,46,True,,Medium
1,TROP2 / TACSTD2,1,A,ANXA2,0.7172531315338526,0.1309090909090908,,2/3,0.4240811112214717,47,True,,Medium
1,TROP2 / TACSTD2,7,B,LDHA,0.6681488907444715,0.1672727272727272,,2/3,0.4177108090085993,48,True,,Low
12,PD-L1 / CD274,4,A,FN1,0.1835057944917566,,0.65,2/3,0.4167528972458783,49,True,,High
8,GLUT5 / SLC2A5,10,B,ENO1,0.3836358156275047,0.1212121212121212,0.745,3/3,0.4166159789465419,50,True,,Medium
3,EpCAM / EPCAM,4,A,FN1,0.2358130049766589,,0.581,2/3,0.4084065024883294,51,True,,High
8,GLUT5 / SLC2A5,2,A,BSG,0.6139103743247791,0.2012121212121213,,2/3,0.4075612477684502,52,True,,High
7,MUC1,4,A,MFGE8,0.1110563950945502,,0.702,2/3,0.4065281975472751,53,True,,High
15,MET / c-MET,5,A,HSP90AA1,0.344870250856325,0.1066666666666665,0.768,3/3,0.4065123058409972,54,True,,Medium
1,TROP2 / TACSTD2,8,B,PGK1,0.763746410788792,0.0484848484848484,,2/3,0.4061156296368202,55,True,,Low
5,ICAM1 / CD54,4,A,MFGE8,0.3092968351905494,0.0993939393939393,0.799,3/3,0.4025635915281629,56,True,,High
12,PD-L1 / CD274,9,B,PGK1,0.3371393928010822,0.4654545454545454,,2/3,0.4012969691278138,57,True,,Low
3,EpCAM / EPCAM,2,A,LGALS3BP,0.3984338554451618,0.3175757575757575,0.487,3/3,0.4010032043403064,58,True,,High
1,TROP2 / TACSTD2,2,A,LGALS3BP,0.3964938901474393,0.4048484848484849,,2/3,0.4006711874979621,59,True,,High
17,RON / MST1R,10,B,TKT,0.3494134476673327,0.4484848484848484,,2/3,0.3989491480760905,60,True,,Low
1,TROP2 / TACSTD2,5,A,MFGE8,0.2685244675700725,0.5284848484848483,,2/3,0.3985046580274604,61,True,,High
15,MET / c-MET,6,B,GAPDH,0.3367186645082275,0.286060606060606,0.568,3/3,0.3969264235229445,62,True,,Medium
