Receptor,Rank_1_Protein,Rank_1_TPS,Rank_1_Coverage,Rank_1_BS,Rank_2_Protein,Rank_2_TPS,Rank_3_Protein,Rank_3_TPS
αvβ3 integrin / ITGAV–ITGB3,MFGE8,0.803,2/3,High,THBS1,0.757,ITGB1,0.752
ROR1,MFGE8,0.716,2/3,High,GAPDH,0.349,ANXA2,0.344
CD44,FN1,0.639,2/3,High,THBS1,0.563,LGALS3BP,0.523
EGFR,FN1,0.634,2/3,High,GAPDH,0.606,ANXA2,0.516
ICAM1 / CD54,ITGB1,0.603,2/3,High,FN1,0.527,THBS1,0.448
GPNMB,THBS1,0.599,2/3,High,ANXA2,0.322,LGALS3BP,0.245
RON / MST1R,THBS1,0.596,2/3,High,MFGE8,0.489,ITGB1,0.368
CXCR4,FN1,0.56,2/3,High,ITGB1,0.468,GAPDH,0.425
EpCAM / EPCAM,CD44,0.558,3/3,High,ANXA2,0.535,SDCBP,0.435
IGF1R,FN1,0.552,2/3,High,ANXA2,0.499,ITGB1,0.45
MET / c-MET,FN1,0.491,2/3,High,HSP90AA1,0.407,GAPDH,0.397
Tissue Factor / F3,FN1,0.479,2/3,High,THBS1,0.431,ANXA2,0.392
CSPG4,FN1,0.443,2/3,High,MFGE8,0.32,,
AXL,LGALS3BP,0.431,2/3,High,ANXA2,0.358,FN1,0.357
TROP2 / TACSTD2,ANXA2,0.424,2/3,Medium,LGALS3BP,0.401,MFGE8,0.399
PD-L1 / CD274,FN1,0.417,2/3,High,ENO1,0.347,GAPDH,0.323
GLUT5 / SLC2A5,ENO1,0.417,3/3,Medium,BSG,0.408,ANXA2,0.375
MUC1,MFGE8,0.407,2/3,High,GAPDH,0.366,FN1,0.344
TEM8 / ANTXR1,ANXA2,0.387,2/3,Medium,MFGE8,0.371,ITGB1,0.367
LIV-1 / SLC39A6,SLC3A2,0.305,2/3,High,ANXA2,0.286,SDCBP,0.233
