Target No.,Receptor,Group,Protein,top10_freq,top20_freq,median_rank,rank_min,rank_max,rank_range
3,EpCAM / EPCAM,1,ANXA2,1.0,1.0,1,1,2,1
12,PD-L1 / CD274,10,TPI1,1.0,1.0,2,1,2,1
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,1.0,1.0,3,3,9,6
1,TROP2 / TACSTD2,8,PGK1,0.954,1.0,4,3,16,13
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,0.998,1.0,5,4,11,7
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,0.934,1.0,7,5,12,7
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,0.751,1.0,8,5,13,8
13,CD44,5,LGALS3BP,0.675,1.0,8,5,16,11
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,0.496,1.0,11,8,19,11
9,TEM8 / ANTXR1,5,ANXA2,0.037,1.0,14,9,17,8
15,MET / c-MET,8,PGK1,0.041,1.0,14,8,17,9
1,TROP2 / TACSTD2,1,ANXA2,0.736,0.998,8,4,21,17
8,GLUT5 / SLC2A5,2,BSG,0.0,0.993,17,15,21,6
1,TROP2 / TACSTD2,7,LDHA,0.369,0.893,11,5,27,22
1,TROP2 / TACSTD2,6,GAPDH,0.384,0.873,12,5,28,23
9,TEM8 / ANTXR1,3,MFGE8,0.0,0.852,19,14,25,11
17,RON / MST1R,5,THBS1,0.258,0.843,16,4,30,26
1,TROP2 / TACSTD2,10,ENO1,0.275,0.814,13,6,31,25
1,TROP2 / TACSTD2,9,ALDOA,0.05,0.55,20,8,78,70
12,PD-L1 / CD274,7,ENO1,0.0,0.502,20,14,37,23
16,ROR1,5,MFGE8,0.041,0.496,21,10,35,25
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,0.0,0.441,21,11,39,28
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,0.0,0.264,23,12,51,39
9,TEM8 / ANTXR1,4,THBS1,0.0,0.135,26,13,57,44
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,0.0,0.111,26,15,74,59
12,PD-L1 / CD274,3,SDCBP,0.0,0.087,23,18,33,15
3,EpCAM / EPCAM,8,ENO1,0.0,0.085,33,20,123,103
5,ICAM1 / CD54,10,TKT,0.0,0.057,27,19,33,14
14,AXL,3,ANXA2,0.0,0.004,25,20,33,13
13,CD44,8,ALDOA,0.0,0.0,29,26,44,18
8,GLUT5 / SLC2A5,3,ANXA2,0.0,0.0,30,27,34,7
12,PD-L1 / CD274,2,ANXA2,0.0,0.0,31,26,42,16
4,Tissue Factor / F3,3,ANXA2,0.0,0.0,32,25,60,35
9,TEM8 / ANTXR1,8,PKM,0.0,0.0,34,23,99,76
8,GLUT5 / SLC2A5,1,SLC3A2,0.0,0.0,36,33,47,14
20,CXCR4,3,ANXA2,0.0,0.0,37,33,61,28
4,Tissue Factor / F3,8,PGK1,0.0,0.0,38,21,150,129
17,RON / MST1R,8,LDHA,0.0,0.0,38,28,64,36
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,0.0,0.0,39,22,110,88
12,PD-L1 / CD274,9,PGK1,0.0,0.0,43,22,181,159
8,GLUT5 / SLC2A5,10,ENO1,0.0,0.0,45,32,84,52
15,MET / c-MET,9,ALDOA,0.0,0.0,45,34,77,43
15,MET / c-MET,10,ENO1,0.0,0.0,46,35,78,43
15,MET / c-MET,3,ANXA2,0.0,0.0,49,38,84,46
17,RON / MST1R,7,ALDOA,0.0,0.0,50,38,87,49
1,TROP2 / TACSTD2,2,LGALS3BP,0.0,0.0,51,37,79,42
4,Tissue Factor / F3,10,ALDOA,0.0,0.0,51,31,157,126
9,TEM8 / ANTXR1,7,LDHA,0.0,0.0,51,36,103,67
12,PD-L1 / CD274,5,MFGE8,0.0,0.0,51,37,99,62
4,Tissue Factor / F3,9,TPI1,0.0,0.0,53,34,107,73
2,EGFR,9,TPI1,0.0,0.0,54,36,87,51
3,EpCAM / EPCAM,2,LGALS3BP,0.0,0.0,54,41,77,36
15,MET / c-MET,7,LDHA,0.0,0.0,54,43,106,63
17,RON / MST1R,4,MFGE8,0.0,0.0,54,38,71,33
17,RON / MST1R,6,GAPDH,0.0,0.0,56,41,96,55
4,Tissue Factor / F3,6,GAPDH,0.0,0.0,57,39,130,91
8,GLUT5 / SLC2A5,4,LGALS3BP,0.0,0.0,57,45,74,29
17,RON / MST1R,9,ENO1,0.0,0.0,57,35,88,53
20,CXCR4,7,LDHA,0.0,0.0,58,43,81,38
17,RON / MST1R,3,ANXA2,0.0,0.0,59,45,86,41
2,EGFR,7,LDHA,0.0,0.0,60,34,99,65
20,CXCR4,6,GAPDH,0.0,0.0,63,54,76,22
20,CXCR4,8,PKM,0.0,0.0,65,55,77,22
15,MET / c-MET,6,GAPDH,0.0,0.0,67,47,120,73
3,EpCAM / EPCAM,10,PKM,0.0,0.0,68,38,153,115
8,GLUT5 / SLC2A5,7,LDHA,0.0,0.0,68,56,126,70
4,Tissue Factor / F3,7,LDHA,0.0,0.0,69,37,167,130
