Protein,BS_flag,n_preferred_pairs,mean_TPS,median_TPS,max_TPS,top10_appearances,top20_appearances
CD44,High,1,0.558,0.558,0.558,0,1
ITGA6,High,2,0.5,0.5,0.739,1,1
THBS1,High,8,0.475,0.448,0.757,1,4
FN1,High,13,0.422,0.43,0.708,3,6
HSP90AA1,Medium,1,0.407,0.407,0.407,0,0
ITGB1,High,10,0.406,0.368,0.752,2,2
MFGE8,High,16,0.398,0.356,0.803,2,2
ANXA2,Medium,15,0.355,0.355,0.535,0,2
ENO1,Medium,11,0.334,0.339,0.702,0,0
PGK1,Low,0,0.355,0.339,0.737,0,0
GAPDH,Medium,19,0.331,0.32,0.606,1,1
TKT,Low,0,0.317,0.304,0.399,0,0
ALDOA,Low,0,0.315,0.299,0.64,0,0
SLC3A2,High,2,0.295,0.295,0.305,0,0
LGALS3BP,High,14,0.309,0.294,0.523,0,1
TPI1,Low,0,0.301,0.293,0.541,0,0
LDHA,Low,0,0.298,0.278,0.64,0,0
BSG,High,2,0.278,0.278,0.408,0,0
SDCBP,Medium,6,0.312,0.276,0.459,0,0
PKM,Low,0,0.254,0.234,0.474,0,0
EEF1A1,Medium,1,0.217,0.217,0.318,0,0
