gene,uniprot_id,alphafold_version,pdb_url,status,file,error
CD63,P08962,6,https://alphafold.ebi.ac.uk/files/AF-P08962-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\CD63_P08962.pdb,
CD9,P21926,6,https://alphafold.ebi.ac.uk/files/AF-P21926-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\CD9_P21926.pdb,
TSG101,Q99816,6,https://alphafold.ebi.ac.uk/files/AF-Q99816-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\TSG101_Q99816.pdb,
PDCD6IP,Q8WUM4,6,https://alphafold.ebi.ac.uk/files/AF-Q8WUM4-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\PDCD6IP_Q8WUM4.pdb,
CD81,P60033,6,https://alphafold.ebi.ac.uk/files/AF-P60033-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\CD81_P60033.pdb,
GAPDH,P04406,6,https://alphafold.ebi.ac.uk/files/AF-P04406-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\GAPDH_P04406.pdb,
FLOT1,O75955,6,https://alphafold.ebi.ac.uk/files/AF-O75955-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\FLOT1_O75955.pdb,
SDCBP,O00560,6,https://alphafold.ebi.ac.uk/files/AF-O00560-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\SDCBP_O00560.pdb,
ANXA2,P07355,6,https://alphafold.ebi.ac.uk/files/AF-P07355-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ANXA2_P07355.pdb,
ACTB,P60709,6,https://alphafold.ebi.ac.uk/files/AF-P60709-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ACTB_P60709.pdb,
HSP90AA1,P07900,6,https://alphafold.ebi.ac.uk/files/AF-P07900-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\HSP90AA1_P07900.pdb,
ITGB1,P05556,6,https://alphafold.ebi.ac.uk/files/AF-P05556-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ITGB1_P05556.pdb,
VCP,P55072,6,https://alphafold.ebi.ac.uk/files/AF-P55072-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\VCP_P55072.pdb,
LDHA,P00338,6,https://alphafold.ebi.ac.uk/files/AF-P00338-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\LDHA_P00338.pdb,
PGK1,P00558,6,https://alphafold.ebi.ac.uk/files/AF-P00558-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\PGK1_P00558.pdb,
ALDOA,P04075,6,https://alphafold.ebi.ac.uk/files/AF-P04075-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ALDOA_P04075.pdb,
HSP90AB1,P08238,6,https://alphafold.ebi.ac.uk/files/AF-P08238-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\HSP90AB1_P08238.pdb,
EEF1A1,P68104,6,https://alphafold.ebi.ac.uk/files/AF-P68104-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\EEF1A1_P68104.pdb,
ENO1,P06733,6,https://alphafold.ebi.ac.uk/files/AF-P06733-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ENO1_P06733.pdb,
HSPA8,P11142,6,https://alphafold.ebi.ac.uk/files/AF-P11142-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\HSPA8_P11142.pdb,
ANXA1,P04083,6,https://alphafold.ebi.ac.uk/files/AF-P04083-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ANXA1_P04083.pdb,
PPIA,P62937,6,https://alphafold.ebi.ac.uk/files/AF-P62937-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\PPIA_P62937.pdb,
PKM,P14618,6,https://alphafold.ebi.ac.uk/files/AF-P14618-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\PKM_P14618.pdb,
FLNA,P21333,6,https://alphafold.ebi.ac.uk/files/AF-P21333-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\FLNA_P21333.pdb,
ANXA5,P08758,6,https://alphafold.ebi.ac.uk/files/AF-P08758-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\ANXA5_P08758.pdb,
HSPA1A,P0DMV8,6,https://alphafold.ebi.ac.uk/files/AF-P0DMV8-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\HSPA1A_P0DMV8.pdb,
EEF2,P13639,6,https://alphafold.ebi.ac.uk/files/AF-P13639-F1-model_v6.pdb,SUCCESS,ExoCarta_PDB_Files\EEF2_P13639.pdb,
