Target No.,Protein,TPS,rank_min,rank_max,rank_range
7,MFGE8,0.4065281975472751,53.0,129.0,76.0
5,TKT,0.2473132566812849,83.0,148.0,65.0
7,THBS1,0.3289806170130192,96.0,158.0,62.0
12,SDCBP,0.3185759474034217,54.0,111.0,57.0
12,ANXA2,0.2718165952482022,84.0,136.0,52.0
12,FN1,0.4167528972458783,49.0,100.0,51.0
19,MFGE8,0.4414251124502772,35.0,86.0,51.0
7,FN1,0.3442883182544966,85.0,136.0,51.0
16,TPI1,0.3590902017997452,75.0,125.0,50.0
1,ENO1,0.355221328924797,30.0,80.0,50.0
14,FN1,0.3566381458411842,78.0,128.0,50.0
1,ALDOA,0.3209307670018836,56.0,105.0,49.0
1,GAPDH,0.3688185854136263,27.0,71.0,44.0
5,FN1,0.5268992874547614,25.0,68.0,43.0
8,SLC3A2,0.2844610369558037,89.0,131.0,42.0
9,THBS1,0.3330161601449744,52.0,93.0,41.0
3,FN1,0.4084065024883294,51.0,91.0,40.0
9,ANXA2,0.3874960010319301,24.0,64.0,40.0
14,LGALS3BP,0.4313040520675752,41.0,81.0,40.0
19,ANXA2,0.4993868791763447,26.0,65.0,39.0
1,PGK1,0.4061156296368202,16.0,55.0,39.0
18,MFGE8,0.320198733644975,107.0,145.0,38.0
9,MFGE8,0.3708517024432732,33.0,70.0,37.0
5,GAPDH,0.3005582333233649,115.0,152.0,37.0
14,MFGE8,0.3252070132226278,100.0,137.0,37.0
7,GAPDH,0.3661945311575003,74.0,111.0,37.0
12,ENO1,0.346904858011743,47.0,84.0,37.0
19,PGK1,0.595144492662562,14.0,50.0,36.0
1,MFGE8,0.3985046580274604,56.0,91.0,35.0
9,PKM,0.2368234184291334,120.0,155.0,35.0
3,SDCBP,0.4354536838979988,37.0,71.0,34.0
10,THBS1,0.5991442301598117,13.0,47.0,34.0
10,ANXA2,0.3221409008639109,101.0,135.0,34.0
5,THBS1,0.4475954449103791,38.0,72.0,34.0
2,TPI1,0.3276661621078746,76.0,109.0,33.0
16,ITGB1,0.3272842580154115,97.0,130.0,33.0
18,FN1,0.4431626900502841,39.0,70.0,31.0
20,ALDOA,0.432740076095246,36.0,66.0,30.0
11,SDCBP,0.2326851056967972,156.0,186.0,30.0
17,ITGB1,0.3678293922749931,68.0,98.0,30.0
1,ANXA2,0.4240811112214717,18.0,47.0,29.0
20,ANXA2,0.3525202847949814,60.0,89.0,29.0
16,GAPDH,0.3487853061550998,80.0,109.0,29.0
17,LDHA,0.2392618115053903,124.0,153.0,29.0
12,GAPDH,0.3227557242159151,94.0,122.0,28.0
1,LDHA,0.4177108090085993,20.0,48.0,28.0
19,GAPDH,0.3180870916632916,112.0,140.0,28.0
20,PKM,0.3193728742252119,80.0,108.0,28.0
8,LDHA,0.2034642457055518,148.0,176.0,28.0
4,LGALS3BP,0.3209273387324168,100.0,128.0,28.0
16,PGK1,0.3560104091467276,76.0,103.0,27.0
10,TKT,0.3040314536146909,111.0,138.0,27.0
11,ANXA2,0.2856533553048955,129.0,156.0,27.0
13,ALDOA,0.3784363799112059,38.0,65.0,27.0
19,LGALS3BP,0.2711402668765896,138.0,164.0,26.0
8,BSG,0.4075612477684502,26.0,52.0,26.0
4,FN1,0.4789685487823576,32.0,58.0,26.0
8,SDCBP,0.1992750615344692,151.0,177.0,26.0
5,MFGE8,0.4025635915281629,55.0,81.0,26.0
15,FN1,0.4911064663872809,30.0,56.0,26.0
4,ANXA2,0.3920167843217965,38.0,64.0,26.0
2,MFGE8,0.3258499588136999,99.0,125.0,26.0
2,PKM,0.3190402590667531,102.0,127.0,25.0
4,GAPDH,0.2181670183942343,140.0,165.0,25.0
8,ANXA2,0.3746305140586595,44.0,68.0,24.0
14,ANXA2,0.3576968717716043,53.0,77.0,24.0
19,ITGB1,0.4496236125807576,37.0,61.0,24.0
17,GAPDH,0.2586356632112263,123.0,147.0,24.0
8,ENO1,0.4166159789465419,39.0,62.0,23.0
6,GAPDH,0.3772637194885522,66.0,89.0,23.0
2,SDCBP,0.4591867630772419,36.0,59.0,23.0
13,MFGE8,0.3412168784658209,87.0,109.0,22.0
17,ALDOA,0.3044876856881794,95.0,117.0,22.0
8,GAPDH,0.3102439978591963,97.0,119.0,22.0
15,ALDOA,0.3031021994626736,98.0,119.0,21.0
15,HSP90AA1,0.4065123058409972,48.0,69.0,21.0
13,ITGB1,0.4780642275344671,33.0,54.0,21.0
4,TPI1,0.2955088160832916,101.0,122.0,21.0
12,MFGE8,0.2758185296383859,113.0,134.0,21.0
15,ENO1,0.3081054431534584,94.0,115.0,21.0
12,TPI1,0.5406014014160783,3.0,23.0,20.0
1,LGALS3BP,0.4006711874979621,41.0,61.0,20.0
20,LDHA,0.3324001621723702,74.0,94.0,20.0
