Target No.,Group,Group_AB,Protein,AFS,PS,SS,coverage,BS,TPS_equal,rank_equal
6,2,A,MFGE8,0.6205921272127174,,0.985,2,0.85,0.8027960636063587,1.0
6,3,A,THBS1,0.5143940362544176,,0.999,2,0.85,0.7566970181272088,2.0
6,4,A,ITGB1,0.5055263753232279,,0.999,2,0.9,0.7522631876616138,3.0
6,5,A,ITGA6,0.5622191579736671,,0.915,2,0.9,0.7386095789868335,4.0
6,7,B,PGK1,0.7373216428734515,,,1,0.2,0.7373216428734515,5.0
16,5,A,MFGE8,0.5907057706210792,0.8412121212121211,,2,0.85,0.7159589459166001,6.0
6,1,A,FN1,0.4178405693003784,,0.999,2,0.85,0.7084202846501891,7.0
6,10,B,ENO1,0.7023350155985557,,,1,0.45,0.7023350155985557,8.0
6,9,B,LDHA,0.6398328801576909,,,1,0.2,0.6398328801576909,9.0
6,8,B,ALDOA,0.6398148108139572,,,1,0.2,0.6398148108139572,10.0
13,1,A,FN1,0.278694328502755,,0.999,2,0.85,0.6388471642513774,11.0
2,3,A,FN1,0.3248753062431472,,0.944,2,0.85,0.6344376531215736,12.0
15,8,B,PGK1,0.664588173142931,0.5963636363636363,,2,0.2,0.6304759047532836,13.0
2,6,B,GAPDH,0.2562380909259328,,0.955,2,0.35,0.6056190454629663,14.0
5,1,A,ITGB1,0.2396363527212077,,0.967,2,0.9,0.6033181763606038,15.0
10,3,A,THBS1,0.1982884603196233,1.0,,2,0.85,0.5991442301598117,16.0
17,5,A,THBS1,0.6584222296008606,0.5333333333333332,,2,0.85,0.5958777814670969,17.0
19,9,B,PGK1,0.190288985325124,1.0,,2,0.2,0.595144492662562,18.0
13,4,A,THBS1,0.3454360558364661,0.5769696969696969,0.767,3,0.85,0.5631352509353876,19.0
20,1,A,FN1,0.2637290195858565,,0.857,2,0.85,0.5603645097929282,20.0
3,5,A,CD44,0.2265869822485463,0.4751515151515151,0.971,3,0.9,0.5575794991333538,21.0
19,1,A,FN1,0.2293399644358635,,0.875,2,0.85,0.5521699822179318,22.0
12,10,B,TPI1,0.9308997725291264,0.1503030303030303,,2,0.2,0.5406014014160783,23.0
3,1,A,ANXA2,0.963858538498648,0.1721212121212121,0.469,3,0.6,0.5349932502066199,24.0
5,3,A,FN1,0.1497985749095227,,0.904,2,0.85,0.5268992874547614,25.0
13,5,A,LGALS3BP,0.7544695742269375,0.2642424242424243,0.549,3,0.85,0.522570666156454,26.0
4,10,B,ALDOA,0.3606799458745305,0.6763636363636363,,2,0.2,0.5185217911190834,27.0
2,1,A,ANXA2,0.2767300385170776,0.3127272727272727,0.958,3,0.6,0.5158191037481168,28.0
19,3,A,ANXA2,0.2448343644132957,0.7539393939393939,,2,0.6,0.4993868791763447,29.0
15,1,A,FN1,0.2372129327745619,,0.745,2,0.85,0.49110646638728095,30.0
17,4,A,MFGE8,0.3721013263779922,0.606060606060606,,2,0.85,0.48908096621929903,31.0
4,1,A,FN1,0.2469370975647152,,0.711,2,0.85,0.4789685487823576,32.0
13,2,A,ITGB1,0.2517381371488561,0.2254545454545454,0.957,3,0.9,0.4780642275344671,33.0
13,10,B,PKM,0.3063304391231785,0.1503030303030303,0.965,3,0.3,0.4738778231420696,34.0
20,5,A,ITGB1,0.3314457445069365,0.2521212121212121,0.819,3,0.9,0.46752231887604945,35.0
2,5,A,SDCBP,0.2548936225650591,0.2666666666666666,0.856,3,0.4,0.4591867630772419,36.0
19,2,A,ITGB1,0.2849920498634852,0.2278787878787879,0.836,3,0.9,0.44962361258075767,37.0
5,5,A,THBS1,0.2251908898207584,,0.67,2,0.85,0.44759544491037917,38.0
18,1,A,FN1,0.2373253801005681,,0.649,2,0.85,0.4431626900502841,39.0
19,4,A,MFGE8,0.2258805279308576,0.6569696969696969,,2,0.85,0.44142511245027727,40.0
3,3,A,SDCBP,0.289089185977816,0.5818181818181818,,2,0.4,0.4354536838979988,41.0
20,9,B,ALDOA,0.3321468188571589,0.5333333333333332,,2,0.2,0.432740076095246,42.0
13,6,B,GAPDH,0.401874830075194,0.1503030303030303,0.745,3,0.35,0.4323926201260747,43.0
14,5,A,LGALS3BP,0.2541232556503021,0.6084848484848484,,2,0.85,0.43130405206757527,44.0
4,2,A,THBS1,0.2669149400980778,0.3951515151515151,0.631,3,0.85,0.43102215174986425,45.0
20,6,B,GAPDH,0.403921898272594,0.2351515151515152,0.635,3,0.35,0.42469113780803636,46.0
1,1,A,ANXA2,0.7172531315338526,0.1309090909090908,,2,0.6,0.42408111122147174,47.0
1,7,B,LDHA,0.6681488907444715,0.1672727272727272,,2,0.2,0.4177108090085993,48.0
12,4,A,FN1,0.1835057944917566,,0.65,2,0.85,0.4167528972458783,49.0
8,10,B,ENO1,0.3836358156275047,0.1212121212121212,0.745,3,0.45,0.4166159789465419,50.0
3,4,A,FN1,0.2358130049766589,,0.581,2,0.85,0.40840650248832944,51.0
8,2,A,BSG,0.6139103743247791,0.2012121212121213,,2,0.9,0.4075612477684502,52.0
7,4,A,MFGE8,0.1110563950945502,,0.702,2,0.85,0.4065281975472751,53.0
15,5,A,HSP90AA1,0.344870250856325,0.1066666666666665,0.768,3,0.4,0.4065123058409972,54.0
1,8,B,PGK1,0.763746410788792,0.0484848484848484,,2,0.2,0.4061156296368202,55.0
5,4,A,MFGE8,0.3092968351905494,0.0993939393939393,0.799,3,0.85,0.4025635915281629,56.0
12,9,B,PGK1,0.3371393928010822,0.4654545454545454,,2,0.2,0.4012969691278138,57.0
3,2,A,LGALS3BP,0.3984338554451618,0.3175757575757575,0.487,3,0.85,0.4010032043403064,58.0
1,2,A,LGALS3BP,0.3964938901474393,0.4048484848484849,,2,0.85,0.4006711874979621,59.0
17,10,B,TKT,0.3494134476673327,0.4484848484848484,,2,0.2,0.39894914807609055,60.0
1,5,A,MFGE8,0.2685244675700725,0.5284848484848483,,2,0.85,0.39850465802746043,61.0
15,6,B,GAPDH,0.3367186645082275,0.286060606060606,0.568,3,0.35,0.3969264235229445,62.0
4,3,A,ANXA2,0.4690200499350865,0.0630303030303031,0.644,3,0.6,0.39201678432179654,63.0
9,5,A,ANXA2,0.6586283657002238,0.1163636363636364,,2,0.6,0.3874960010319301,64.0
13,8,B,ALDOA,0.5096000325496846,0.2472727272727273,,2,0.2,0.37843637991120593,65.0
6,6,B,GAPDH,0.2825274389771045,,0.472,2,0.35,0.37726371948855225,66.0
3,8,B,ENO1,0.3920231935245624,0.2909090909090909,0.448,3,0.45,0.37697742814455104,67.0
8,3,A,ANXA2,0.4680489069051979,0.2812121212121212,,2,0.6,0.37463051405865955,68.0
3,6,B,GAPDH,0.2962242757090844,0.2351515151515152,0.591,3,0.35,0.3741252636201998,69.0
9,3,A,MFGE8,0.5865518897350315,0.155151515151515,,2,0.85,0.37085170244327326,70.0
1,6,B,GAPDH,0.6649098980999798,0.0727272727272727,,2,0.35,0.3688185854136263,71.0
17,2,A,ITGB1,0.2944466633378653,0.4412121212121211,,2,0.9,0.36782939227499317,72.0
9,2,A,ITGB1,0.3513801776808217,0.269090909090909,0.481,3,0.9,0.3671570289239102,73.0
