pdb_file,pdbqt_file,status,error
ACLY_P53396.pdb,ExoCarta_PDBQT_Files\ACLY_P53396.pdbqt,SUCCESS,
ACTB_P60709.pdb,ExoCarta_PDBQT_Files\ACTB_P60709.pdbqt,SUCCESS,
ACTN1_P12814.pdb,ExoCarta_PDBQT_Files\ACTN1_P12814.pdbqt,SUCCESS,
ACTN4_O43707.pdb,ExoCarta_PDBQT_Files\ACTN4_O43707.pdbqt,SUCCESS,
AHCY_P23526.pdb,ExoCarta_PDBQT_Files\AHCY_P23526.pdbqt,SUCCESS,
ALDOA_P04075.pdb,ExoCarta_PDBQT_Files\ALDOA_P04075.pdbqt,SUCCESS,
ANXA11_P50995.pdb,ExoCarta_PDBQT_Files\ANXA11_P50995.pdbqt,SUCCESS,
ANXA1_P04083.pdb,ExoCarta_PDBQT_Files\ANXA1_P04083.pdbqt,SUCCESS,
ANXA2_P07355.pdb,ExoCarta_PDBQT_Files\ANXA2_P07355.pdbqt,SUCCESS,
ANXA4_P09525.pdb,ExoCarta_PDBQT_Files\ANXA4_P09525.pdbqt,SUCCESS,
ANXA5_P08758.pdb,ExoCarta_PDBQT_Files\ANXA5_P08758.pdbqt,SUCCESS,
ANXA6_P08133.pdb,ExoCarta_PDBQT_Files\ANXA6_P08133.pdbqt,SUCCESS,
ANXA7_P20073.pdb,ExoCarta_PDBQT_Files\ANXA7_P20073.pdbqt,SUCCESS,
ARF1_P84077.pdb,ExoCarta_PDBQT_Files\ARF1_P84077.pdbqt,SUCCESS,
ATP1A1_P05023.pdb,ExoCarta_PDBQT_Files\ATP1A1_P05023.pdbqt,SUCCESS,
ATP5B_P06576.pdb,ExoCarta_PDBQT_Files\ATP5B_P06576.pdbqt,SUCCESS,
BSG_P35613.pdb,ExoCarta_PDBQT_Files\BSG_P35613.pdbqt,SUCCESS,
CCT2_P78371.pdb,ExoCarta_PDBQT_Files\CCT2_P78371.pdbqt,SUCCESS,
CCT3_P49368.pdb,ExoCarta_PDBQT_Files\CCT3_P49368.pdbqt,SUCCESS,
CCT5_P48643.pdb,ExoCarta_PDBQT_Files\CCT5_P48643.pdbqt,SUCCESS,
CD274_Q9NZQ7.pdb,ExoCarta_PDBQT_Files\CD274_Q9NZQ7.pdbqt,SUCCESS,
CD44_P16070.pdb,ExoCarta_PDBQT_Files\CD44_P16070.pdbqt,SUCCESS,
CD63_P08962.pdb,ExoCarta_PDBQT_Files\CD63_P08962.pdbqt,SUCCESS,
CD81_P60033.pdb,ExoCarta_PDBQT_Files\CD81_P60033.pdbqt,SUCCESS,
CD9_P21926.pdb,ExoCarta_PDBQT_Files\CD9_P21926.pdbqt,SUCCESS,
CDC42_P60953.pdb,ExoCarta_PDBQT_Files\CDC42_P60953.pdbqt,SUCCESS,
CFL1_P23528.pdb,ExoCarta_PDBQT_Files\CFL1_P23528.pdbqt,SUCCESS,
CLIC1_O00299.pdb,ExoCarta_PDBQT_Files\CLIC1_O00299.pdbqt,SUCCESS,
CLTC_Q00610.pdb,ExoCarta_PDBQT_Files\CLTC_Q00610.pdbqt,SUCCESS,
EEF1A1_P68104.pdb,ExoCarta_PDBQT_Files\EEF1A1_P68104.pdbqt,SUCCESS,
EEF1G_P26641.pdb,ExoCarta_PDBQT_Files\EEF1G_P26641.pdbqt,SUCCESS,
EEF2_P13639.pdb,ExoCarta_PDBQT_Files\EEF2_P13639.pdbqt,SUCCESS,
EHD1_Q9H4M9.pdb,ExoCarta_PDBQT_Files\EHD1_Q9H4M9.pdbqt,SUCCESS,
EHD4_Q9H223.pdb,ExoCarta_PDBQT_Files\EHD4_Q9H223.pdbqt,SUCCESS,
ENO1_P06733.pdb,ExoCarta_PDBQT_Files\ENO1_P06733.pdbqt,SUCCESS,
EPRS_P07814.pdb,ExoCarta_PDBQT_Files\EPRS_P07814.pdbqt,SUCCESS,
EZR_P15311.pdb,ExoCarta_PDBQT_Files\EZR_P15311.pdbqt,SUCCESS,
FASN_P49327.pdb,ExoCarta_PDBQT_Files\FASN_P49327.pdbqt,SUCCESS,
FLNA_P21333.pdb,ExoCarta_PDBQT_Files\FLNA_P21333.pdbqt,SUCCESS,
FLNB_O75369.pdb,ExoCarta_PDBQT_Files\FLNB_O75369.pdbqt,SUCCESS,
FLOT1_O75955.pdb,ExoCarta_PDBQT_Files\FLOT1_O75955.pdbqt,SUCCESS,
FLOT2_Q14254.pdb,ExoCarta_PDBQT_Files\FLOT2_Q14254.pdbqt,SUCCESS,
