Target No.,Receptor,Group,Protein,experimental,database,textmining,coexpression,dominant_channel,has_string_evidence,STRING_combined,STRING_Score
1,TROP2 / TACSTD2,A,ANXA2,,,,,,False,,
1,TROP2 / TACSTD2,A,FN1,,,,,,False,,
1,TROP2 / TACSTD2,A,LGALS3BP,,,,,,False,,
1,TROP2 / TACSTD2,A,MFGE8,,,,,,False,,
1,TROP2 / TACSTD2,A,SDCBP,,,,,,False,,
1,TROP2 / TACSTD2,B,ALDOA,,,,,,False,,
1,TROP2 / TACSTD2,B,ENO1,,,,,,False,,
1,TROP2 / TACSTD2,B,GAPDH,,,,,,False,,
1,TROP2 / TACSTD2,B,LDHA,,,,,,False,,
1,TROP2 / TACSTD2,B,PGK1,,,,,,False,,
2,EGFR,A,ANXA2,0.544,0.0,0.908,0.083,textmining,True,0.958,0.41165
2,EGFR,A,FN1,0.292,0.0,0.915,0.138,textmining,True,0.944,0.3205
2,EGFR,A,LGALS3BP,0.0,0.0,0.477,0.084,textmining,True,0.5,0.108
2,EGFR,A,MFGE8,0.051,0.0,0.494,0.067,textmining,True,0.554,0.12925
2,EGFR,A,SDCBP,0.045,0.0,0.855,0.044,textmining,True,0.856,0.1956
2,EGFR,B,GAPDH,0.779,0.0,0.801,0.047,textmining,True,0.955,0.47885000000000005
2,EGFR,B,LDHA,0.0,0.0,0.447,0.049,textmining,True,0.451,0.09675
2,EGFR,B,PGK1,,,,,,False,,
2,EGFR,B,PKM,0.164,0.0,0.542,0.049,textmining,True,0.606,0.18135
2,EGFR,B,TPI1,0.221,0.0,0.441,0.047,textmining,True,0.548,0.18365
3,EpCAM / EPCAM,A,ANXA2,0.0,0.0,0.469,0.0,textmining,True,0.469,0.0938
3,EpCAM / EPCAM,A,CD44,0.0,0.0,0.971,0.0,textmining,True,0.971,0.1942
3,EpCAM / EPCAM,A,FN1,0.0,0.0,0.581,0.043,textmining,True,0.581,0.12265
3,EpCAM / EPCAM,A,LGALS3BP,0.0,0.0,0.479,0.056,textmining,True,0.487,0.1042
3,EpCAM / EPCAM,A,SDCBP,,,,,,False,,
3,EpCAM / EPCAM,B,ALDOA,,,,,,False,,
3,EpCAM / EPCAM,B,EEF1A1,,,,,,False,,
3,EpCAM / EPCAM,B,ENO1,0.0,0.0,0.448,0.0,textmining,True,0.448,0.08960000000000001
3,EpCAM / EPCAM,B,GAPDH,0.0,0.0,0.574,0.0,textmining,True,0.591,0.1148
3,EpCAM / EPCAM,B,PKM,,,,,,False,,
4,Tissue Factor / F3,A,ANXA2,0.0,0.0,0.637,0.062,textmining,True,0.644,0.13670000000000002
4,Tissue Factor / F3,A,FN1,0.0,0.0,0.704,0.064,textmining,True,0.711,0.1504
4,Tissue Factor / F3,A,LGALS3BP,,,,,,False,,
4,Tissue Factor / F3,A,MFGE8,,,,,,False,,
4,Tissue Factor / F3,A,THBS1,0.0,0.0,0.606,0.103,textmining,True,0.631,0.13665
4,Tissue Factor / F3,B,ALDOA,,,,,,False,,
4,Tissue Factor / F3,B,GAPDH,,,,,,False,,
4,Tissue Factor / F3,B,LDHA,,,,,,False,,
4,Tissue Factor / F3,B,PGK1,,,,,,False,,
4,Tissue Factor / F3,B,TPI1,,,,,,False,,
5,ICAM1 / CD54,A,FN1,0.0,0.0,0.903,0.055,textmining,True,0.904,0.18885000000000002
5,ICAM1 / CD54,A,ITGA6,0.0,0.0,0.418,0.055,textmining,True,0.426,0.09185000000000001
5,ICAM1 / CD54,A,ITGB1,0.0,0.0,0.966,0.074,textmining,True,0.967,0.2043
5,ICAM1 / CD54,A,MFGE8,0.0,0.0,0.797,0.054,textmining,True,0.799,0.1675
5,ICAM1 / CD54,A,THBS1,0.0,0.0,0.656,0.067,textmining,True,0.67,0.14125000000000001
5,ICAM1 / CD54,B,ENO1,,,,,,False,,
5,ICAM1 / CD54,B,GAPDH,0.071,0.0,0.629,0.042,textmining,True,0.663,0.1605
5,ICAM1 / CD54,B,LDHA,,,,,,False,,
5,ICAM1 / CD54,B,PKM,,,,,,False,,
5,ICAM1 / CD54,B,TKT,,,,,,False,,
6,αvβ3 integrin / ITGAV–ITGB3,A,FN1,0.977,0.9,0.995,,textmining,True,0.999,0.8148
6,αvβ3 integrin / ITGAV–ITGB3,A,ITGA6,0.135,0.54,0.778,0.042,textmining,True,0.915,0.3509
6,αvβ3 integrin / ITGAV–ITGB3,A,ITGB1,0.715,0.9,0.994,0.127,textmining,True,0.999,0.72885
6,αvβ3 integrin / ITGAV–ITGB3,A,MFGE8,0.422,0.0,0.976,0.044,textmining,True,0.985,0.3706
6,αvβ3 integrin / ITGAV–ITGB3,A,THBS1,0.988,0.9,0.999,0.044,textmining,True,0.999,0.8266
6,αvβ3 integrin / ITGAV–ITGB3,B,ALDOA,,,,,,False,,
6,αvβ3 integrin / ITGAV–ITGB3,B,ENO1,,,,,,False,,
6,αvβ3 integrin / ITGAV–ITGB3,B,GAPDH,0.0,0.0,0.447,0.049,textmining,True,0.472,0.09675
6,αvβ3 integrin / ITGAV–ITGB3,B,LDHA,,,,,,False,,
6,αvβ3 integrin / ITGAV–ITGB3,B,PGK1,,,,,,False,,
7,MUC1,A,ANXA2,,,,,,False,,
7,MUC1,A,FN1,0.0,0.0,0.511,0.06,textmining,True,0.52,0.11120000000000001
7,MUC1,A,LGALS3BP,,,,,,False,,
7,MUC1,A,MFGE8,0.046,0.0,0.683,0.092,textmining,True,0.702,0.16880000000000003
7,MUC1,A,THBS1,0.098,0.0,0.247,0.062,textmining,True,0.531,0.09790000000000001
7,MUC1,B,EEF1A1,,,,,,False,,
7,MUC1,B,GAPDH,0.084,0.0,0.448,0.057,textmining,True,0.508,0.13175
7,MUC1,B,PGK1,,,,,,False,,
7,MUC1,B,PKM,,,,,,False,,
7,MUC1,B,TPI1,,,,,,False,,
8,GLUT5 / SLC2A5,A,ANXA2,,,,,,False,,
8,GLUT5 / SLC2A5,A,BSG,,,,,,False,,
8,GLUT5 / SLC2A5,A,LGALS3BP,,,,,,False,,
8,GLUT5 / SLC2A5,A,SDCBP,,,,,,False,,
8,GLUT5 / SLC2A5,A,SLC3A2,,,,,,False,,
8,GLUT5 / SLC2A5,B,ALDOA,,,,,,False,,
8,GLUT5 / SLC2A5,B,ENO1,0.0,0.0,0.715,0.056,textmining,True,0.745,0.15139999999999998
8,GLUT5 / SLC2A5,B,GAPDH,0.071,0.217,0.297,0.055,textmining,True,0.494,0.15030000000000002
8,GLUT5 / SLC2A5,B,LDHA,,,,,,False,,
8,GLUT5 / SLC2A5,B,PGK1,,,,,,False,,
9,TEM8 / ANTXR1,A,ANXA2,,,,,,False,,
9,TEM8 / ANTXR1,A,FN1,,,,,,False,,
9,TEM8 / ANTXR1,A,ITGB1,0.067,0.0,0.43,0.075,textmining,True,0.481,0.12405000000000001
9,TEM8 / ANTXR1,A,MFGE8,,,,,,False,,
9,TEM8 / ANTXR1,A,THBS1,,,,,,False,,
9,TEM8 / ANTXR1,B,ALDOA,,,,,,False,,
9,TEM8 / ANTXR1,B,GAPDH,,,,,,False,,
9,TEM8 / ANTXR1,B,LDHA,,,,,,False,,
9,TEM8 / ANTXR1,B,PKM,,,,,,False,,
9,TEM8 / ANTXR1,B,TPI1,,,,,,False,,
10,GPNMB,A,ANXA2,,,,,,False,,
10,GPNMB,A,FN1,,,,,,False,,
10,GPNMB,A,LGALS3BP,,,,,,False,,
10,GPNMB,A,MFGE8,,,,,,False,,
10,GPNMB,A,THBS1,,,,,,False,,
10,GPNMB,B,ALDOA,,,,,,False,,
10,GPNMB,B,ENO1,,,,,,False,,
10,GPNMB,B,GAPDH,,,,,,False,,
10,GPNMB,B,PGK1,,,,,,False,,
10,GPNMB,B,TKT,,,,,,False,,
11,LIV-1 / SLC39A6,A,ANXA2,,,,,,False,,
11,LIV-1 / SLC39A6,A,BSG,,,,,,False,,
11,LIV-1 / SLC39A6,A,LGALS3BP,,,,,,False,,
11,LIV-1 / SLC39A6,A,SDCBP,,,,,,False,,
11,LIV-1 / SLC39A6,A,SLC3A2,,,,,,False,,
11,LIV-1 / SLC39A6,B,ALDOA,,,,,,False,,
11,LIV-1 / SLC39A6,B,GAPDH,,,,,,False,,
11,LIV-1 / SLC39A6,B,LDHA,,,,,,False,,
11,LIV-1 / SLC39A6,B,PGK1,,,,,,False,,
11,LIV-1 / SLC39A6,B,PKM,,,,,,False,,
12,PD-L1 / CD274,A,ANXA2,,,,,,False,,
12,PD-L1 / CD274,A,FN1,0.0,0.0,0.65,0.0,textmining,True,0.65,0.13
12,PD-L1 / CD274,A,LGALS3BP,,,,,,False,,
12,PD-L1 / CD274,A,MFGE8,,,,,,False,,
12,PD-L1 / CD274,A,SDCBP,,,,,,False,,
12,PD-L1 / CD274,B,ENO1,,,,,,False,,
12,PD-L1 / CD274,B,GAPDH,0.0,0.0,0.576,0.0,textmining,True,0.583,0.1152
12,PD-L1 / CD274,B,LDHA,0.0,0.0,0.399,0.055,textmining,True,0.407,0.08805000000000002
12,PD-L1 / CD274,B,PGK1,,,,,,False,,
12,PD-L1 / CD274,B,TPI1,,,,,,False,,
13,CD44,A,FN1,0.292,0.9,0.996,0.06,textmining,True,0.999,0.55
13,CD44,A,ITGB1,0.226,0.0,0.939,0.109,textmining,True,0.957,0.29455
13,CD44,A,LGALS3BP,0.0,0.0,0.537,0.067,textmining,True,0.549,0.11745000000000001
13,CD44,A,MFGE8,0.0,0.0,0.512,0.047,textmining,True,0.522,0.10945
13,CD44,A,THBS1,0.0,0.0,0.727,0.124,textmining,True,0.767,0.164
13,CD44,B,ALDOA,,,,,,False,,
13,CD44,B,ENO1,0.292,0.0,0.27,0.103,experimental,True,0.495,0.18625
13,CD44,B,GAPDH,0.0,0.0,0.719,0.056,textmining,True,0.745,0.1522
13,CD44,B,LDHA,,,,,,False,,
