Target No.,Receptor,Group,Protein,STRING_combined,rec_40_25_20_15,usr_30_30_25_15,usr_50_20_20_10,exp_heavy_60_20_15_05,equal_25_25_25_25,text_lean_20_20_40_20
2,EGFR,A,ANXA2,0.958,0.41165,0.40265,0.4619,0.46675,0.38375,0.48860000000000003
2,EGFR,A,LGALS3BP,0.5,0.108,0.13185,0.1038,0.07574999999999998,0.14024999999999999,0.2076
2,EGFR,A,FN1,0.944,0.3205,0.33705,0.3428,0.31935,0.33625000000000005,0.45200000000000007
2,EGFR,A,MFGE8,0.554,0.12925,0.14885,0.131,0.10805,0.15300000000000002,0.22119999999999998
2,EGFR,A,SDCBP,0.856,0.1956,0.23385,0.1979,0.15745,0.23600000000000002,0.3598
2,EGFR,B,GAPDH,0.955,0.47885000000000005,0.441,0.5544000000000001,0.5899,0.40675,0.4856000000000001
2,EGFR,B,LDHA,0.451,0.09675,0.1191,0.09430000000000001,0.06949999999999999,0.124,0.18860000000000002
2,EGFR,B,PKM,0.606,0.18135,0.19205,0.1953,0.18215,0.18875000000000003,0.2594
2,EGFR,B,TPI1,0.548,0.18365,0.18359999999999999,0.2034,0.20109999999999997,0.17725000000000002,0.23
3,EpCAM / EPCAM,A,ANXA2,0.469,0.0938,0.11725,0.0938,0.07035,0.11725,0.1876
3,EpCAM / EPCAM,A,LGALS3BP,0.487,0.1042,0.12815,0.10139999999999999,0.07465,0.13375,0.20279999999999998
3,EpCAM / EPCAM,A,FN1,0.581,0.12265,0.1517,0.1205,0.08929999999999999,0.156,0.241
3,EpCAM / EPCAM,A,CD44,0.971,0.1942,0.24275,0.1942,0.14565,0.24275,0.3884
3,EpCAM / EPCAM,B,GAPDH,0.591,0.1148,0.1435,0.1148,0.0861,0.1435,0.2296
3,EpCAM / EPCAM,B,ENO1,0.448,0.08960000000000001,0.112,0.08960000000000001,0.0672,0.112,0.17920000000000003
4,Tissue Factor / F3,A,FN1,0.711,0.1504,0.1856,0.1472,0.10879999999999998,0.192,0.2944
4,Tissue Factor / F3,A,THBS1,0.631,0.13665,0.16695,0.1315,0.09605,0.17725,0.263
4,Tissue Factor / F3,A,ANXA2,0.644,0.13670000000000002,0.16855,0.13360000000000002,0.09865,0.17475000000000002,0.26720000000000005
5,ICAM1 / CD54,A,ITGB1,0.967,0.2043,0.2526,0.2006,0.1486,0.26,0.4012
5,ICAM1 / CD54,A,ITGA6,0.426,0.09185000000000001,0.11274999999999999,0.08910000000000001,0.06545,0.11825,0.17820000000000003
5,ICAM1 / CD54,A,FN1,0.904,0.18885000000000002,0.234,0.18610000000000002,0.1382,0.23950000000000002,0.37220000000000003
5,ICAM1 / CD54,A,MFGE8,0.799,0.1675,0.20735,0.1648,0.12225,0.21275000000000002,0.3296
5,ICAM1 / CD54,A,THBS1,0.67,0.14125000000000001,0.17405,0.13790000000000002,0.10175000000000001,0.18075000000000002,0.27580000000000005
5,ICAM1 / CD54,B,GAPDH,0.663,0.1605,0.18485,0.1655,0.13904999999999998,0.1855,0.2742
6,αvβ3 integrin / ITGAV–ITGB3,A,FN1,0.999,0.8148,0.81185,0.8674999999999999,0.91545,0.718,0.7734000000000001
6,αvβ3 integrin / ITGAV–ITGB3,A,MFGE8,0.985,0.3706,0.3772,0.4106,0.40179999999999993,0.3605,0.4836
