Target No.,Receptor,Group,Protein,Group_AB,dG_kcal_mol,intermolecular_contacts,dG_per_contact,PRODIGY_Score
1,TROP2 / TACSTD2,1,ANXA2,A,-10.3,61.0,-0.16885245901639345,0.13090909090909086
1,TROP2 / TACSTD2,2,LGALS3BP,A,-21.6,247.0,-0.08744939271255062,0.4048484848484849
1,TROP2 / TACSTD2,3,SDCBP,A,-9.7,77.0,-0.12597402597402596,0.11636363636363645
1,TROP2 / TACSTD2,4,FN1,A,,,,
1,TROP2 / TACSTD2,5,MFGE8,A,-26.7,296.0,-0.0902027027027027,0.5284848484848483
1,TROP2 / TACSTD2,6,GAPDH,B,-7.9,54.0,-0.1462962962962963,0.07272727272727275
1,TROP2 / TACSTD2,7,LDHA,B,-11.8,104.0,-0.11346153846153847,0.16727272727272724
1,TROP2 / TACSTD2,8,PGK1,B,-6.9,54.0,-0.1277777777777778,0.048484848484848464
1,TROP2 / TACSTD2,9,ALDOA,B,-9.3,68.0,-0.13676470588235295,0.10666666666666658
1,TROP2 / TACSTD2,10,ENO1,B,-7.8,51.0,-0.15294117647058822,0.07030303030303031
2,EGFR,1,ANXA2,A,-17.8,187.0,-0.09518716577540107,0.31272727272727274
2,EGFR,2,LGALS3BP,A,-11.3,100.0,-0.113,0.15515151515151504
2,EGFR,3,FN1,A,,,,
2,EGFR,4,MFGE8,A,-12.4,104.0,-0.11923076923076924,0.18181818181818177
2,EGFR,5,SDCBP,A,-15.9,133.0,-0.11954887218045113,0.2666666666666666
2,EGFR,6,GAPDH,B,,,,
2,EGFR,7,LDHA,B,-11.5,84.0,-0.13690476190476192,0.16000000000000003
2,EGFR,8,PKM,B,-8.1,32.0,-0.253125,0.07757575757575763
2,EGFR,9,TPI1,B,-8.1,21.0,-0.3857142857142857,0.07757575757575763
2,EGFR,10,PGK1,B,-7.5,52.0,-0.14423076923076922,0.0630303030303031
3,EpCAM / EPCAM,1,ANXA2,A,-12.0,105.0,-0.11428571428571428,0.17212121212121212
3,EpCAM / EPCAM,2,LGALS3BP,A,-18.0,186.0,-0.0967741935483871,0.3175757575757575
3,EpCAM / EPCAM,3,SDCBP,A,-28.9,286.0,-0.10104895104895105,0.5818181818181818
3,EpCAM / EPCAM,4,FN1,A,,,,
3,EpCAM / EPCAM,5,CD44,A,-24.5,285.0,-0.08596491228070176,0.4751515151515151
3,EpCAM / EPCAM,6,GAPDH,B,-14.6,144.0,-0.10138888888888889,0.23515151515151522
3,EpCAM / EPCAM,7,ALDOA,B,-15.9,149.0,-0.10671140939597315,0.2666666666666666
3,EpCAM / EPCAM,8,ENO1,B,-16.9,164.0,-0.10304878048780487,0.2909090909090909
3,EpCAM / EPCAM,9,EEF1A1,B,-18.4,184.0,-0.09999999999999999,0.32727272727272727
3,EpCAM / EPCAM,10,PKM,B,-17.7,170.0,-0.10411764705882352,0.3103030303030303
4,Tissue Factor / F3,1,FN1,A,,,,
4,Tissue Factor / F3,2,THBS1,A,-21.2,204.0,-0.10392156862745097,0.39515151515151514
4,Tissue Factor / F3,3,ANXA2,A,-7.5,39.0,-0.19230769230769232,0.0630303030303031
4,Tissue Factor / F3,4,MFGE8,A,-16.0,147.0,-0.10884353741496598,0.26909090909090905
4,Tissue Factor / F3,5,LGALS3BP,A,-19.6,222.0,-0.08828828828828829,0.3563636363636363
4,Tissue Factor / F3,6,GAPDH,B,-7.5,39.0,-0.19230769230769232,0.0630303030303031
4,Tissue Factor / F3,7,LDHA,B,-18.1,162.0,-0.11172839506172841,0.32000000000000006
4,Tissue Factor / F3,8,PGK1,B,-18.0,171.0,-0.10526315789473684,0.3175757575757575
4,Tissue Factor / F3,9,TPI1,B,-13.8,118.0,-0.11694915254237288,0.2157575757575757
4,Tissue Factor / F3,10,ALDOA,B,-32.8,325.0,-0.10092307692307692,0.6763636363636363
5,ICAM1 / CD54,1,ITGB1,A,,,,
5,ICAM1 / CD54,2,ITGA6,A,-8.3,41.0,-0.20243902439024392,0.0824242424242424
5,ICAM1 / CD54,3,FN1,A,,,,
5,ICAM1 / CD54,4,MFGE8,A,-9.0,37.0,-0.24324324324324326,0.09939393939393937
5,ICAM1 / CD54,5,THBS1,A,,,,
5,ICAM1 / CD54,6,GAPDH,B,-5.1,4.0,-1.275,0.00484848484848488
5,ICAM1 / CD54,7,LDHA,B,-10.0,79.0,-0.12658227848101267,0.12363636363636366
5,ICAM1 / CD54,8,ENO1,B,-4.9,2.0,-2.45,0.0
5,ICAM1 / CD54,9,PKM,B,-4.9,11.0,-0.4454545454545455,0.0
5,ICAM1 / CD54,10,TKT,B,-4.8,1.0,-4.8,0.0
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,A,,,,
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,A,,,,
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,A,,,,
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,A,,,,
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,A,,,,
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,B,,,,
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,B,,,,
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,B,,,,
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,B,,,,
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,B,,,,
7,MUC1,1,LGALS3BP,A,,,,
7,MUC1,2,ANXA2,A,,,,
7,MUC1,3,FN1,A,,,,
7,MUC1,4,MFGE8,A,,,,
7,MUC1,5,THBS1,A,,,,
7,MUC1,6,GAPDH,B,,,,
7,MUC1,7,PKM,B,,,,
7,MUC1,8,TPI1,B,,,,
7,MUC1,9,PGK1,B,,,,
7,MUC1,10,EEF1A1,B,,,,
8,GLUT5 / SLC2A5,1,SLC3A2,A,-10.7,99.0,-0.10808080808080807,0.14060606060606073
8,GLUT5 / SLC2A5,2,BSG,A,-13.2,137.0,-0.09635036496350365,0.2012121212121213
8,GLUT5 / SLC2A5,3,ANXA2,A,-16.5,163.0,-0.10122699386503067,0.28121212121212125
8,GLUT5 / SLC2A5,4,LGALS3BP,A,-16.8,184.0,-0.09130434782608696,0.28848484848484846
8,GLUT5 / SLC2A5,5,SDCBP,A,-7.2,58.0,-0.12413793103448276,0.055757575757575895
8,GLUT5 / SLC2A5,6,GAPDH,B,-9.0,77.0,-0.11688311688311688,0.09939393939393937
8,GLUT5 / SLC2A5,7,LDHA,B,-7.6,70.0,-0.10857142857142857,0.06545454545454554
8,GLUT5 / SLC2A5,8,ALDOA,B,-11.3,114.0,-0.09912280701754386,0.15515151515151504
8,GLUT5 / SLC2A5,9,PGK1,B,-14.4,140.0,-0.10285714285714286,0.23030303030303023
8,GLUT5 / SLC2A5,10,ENO1,B,-9.9,86.0,-0.11511627906976744,0.12121212121212122
9,TEM8 / ANTXR1,1,FN1,A,,,,
9,TEM8 / ANTXR1,2,ITGB1,A,-16.0,172.0,-0.09302325581395349,0.26909090909090905
9,TEM8 / ANTXR1,3,MFGE8,A,-11.3,74.0,-0.15270270270270273,0.15515151515151504
9,TEM8 / ANTXR1,4,THBS1,A,-10.3,56.0,-0.18392857142857144,0.13090909090909086
