Target No.,Receptor,Group,Protein,Group_AB,ipTM_N,pTM_N,interface_PAE_N,mean_pLDDT_N,AFS_provisional
1,TROP2 / TACSTD2,1,ANXA2,A,0.515625,0.90625,0.93513162529527,0.9194725849304144,0.7172531315338526
1,TROP2 / TACSTD2,2,LGALS3BP,A,0.234375,0.4999999999999999,0.4675284011302919,0.7278475331859705,0.3964938901474393
1,TROP2 / TACSTD2,3,SDCBP,A,0.15625,0.578125,0.4399537754421377,0.5220473434830813,0.3380501678387828
1,TROP2 / TACSTD2,4,FN1,A,0.2499999999999999,0.0,0.0441176190242839,0.5188934274415637,0.209451656969877
1,TROP2 / TACSTD2,5,MFGE8,A,0.09375,0.2343749999999999,0.4806486041291421,0.6845145130046748,0.2685244675700725
1,TROP2 / TACSTD2,6,GAPDH,B,0.375,0.96875,0.915336463048264,0.9757295242849346,0.6649098980999798
1,TROP2 / TACSTD2,7,LDHA,B,0.390625,0.96875,0.9210940041213768,0.9394819341751002,0.6681488907444715
1,TROP2 / TACSTD2,8,PGK1,B,0.5625,0.9375,0.9748973427854092,0.9917453958065372,0.763746410788792
1,TROP2 / TACSTD2,9,ALDOA,B,0.1875,0.953125,0.7150338156053153,0.9570986333086888,0.5351948673371006
1,TROP2 / TACSTD2,10,ENO1,B,0.328125,1.0,0.8405141836437577,1.0,0.6401396275465637
2,EGFR,1,ANXA2,A,0.0625,0.3281249999999999,0.3663543681279821,0.8326792219858691,0.2767300385170776
2,EGFR,2,LGALS3BP,A,0.09375,0.2656249999999999,0.1913694562932851,0.7365121276074754,0.239182237585114
2,EGFR,3,FN1,A,0.390625,0.1249999999999999,0.1539303413785899,0.5431550335757253,0.3248753062431472
2,EGFR,4,MFGE8,A,0.0625,0.28125,0.2759834670318527,0.7522278304542673,0.241731694622918
2,EGFR,5,SDCBP,A,0.09375,0.3124999999999999,0.2724612739394881,0.6976628764942395,0.2548936225650591
2,EGFR,6,GAPDH,B,0.0625,0.2656249999999999,0.2235988482537533,0.9221550912524656,0.2562380909259328
