Rank,Target No.,Receptor,Protein,Group,Group_AB,AFS,PS,SS,TPS,Coverage,BS_flag,BS_reason,Robustness_tier,Interpretation
1,6,αvβ3 integrin / ITGAV–ITGB3,MFGE8,2,A,0.6205921272127174,,0.985,0.8027960636063587,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier2,High-BS; cov 2/3; SS-led
2,6,αvβ3 integrin / ITGAV–ITGB3,THBS1,3,A,0.5143940362544176,,0.999,0.7566970181272088,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier2,High-BS; cov 2/3; SS-led
3,6,αvβ3 integrin / ITGAV–ITGB3,ITGB1,4,A,0.5055263753232279,,0.999,0.7522631876616138,2/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier2,High-BS; cov 2/3; SS-led
4,6,αvβ3 integrin / ITGAV–ITGB3,ITGA6,5,A,0.5622191579736671,,0.915,0.7386095789868335,2/3,High,Single-pass type I cell-membrane integrin + lipid anchor.,Tier2,High-BS; cov 2/3; SS-led
5,16,ROR1,MFGE8,5,A,0.5907057706210792,0.8412121212121211,,0.7159589459166001,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier2,High-BS; cov 2/3; PS-led
6,6,αvβ3 integrin / ITGAV–ITGB3,FN1,1,A,0.4178405693003784,,0.999,0.7084202846501891,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier2,High-BS; cov 2/3; SS-led
7,13,CD44,FN1,1,A,0.278694328502755,,0.999,0.6388471642513774,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier2,High-BS; cov 2/3; SS-led
8,2,EGFR,FN1,3,A,0.3248753062431472,,0.944,0.6344376531215736,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier2,High-BS; cov 2/3; SS-led
9,2,EGFR,GAPDH,6,B,0.2562380909259328,,0.955,0.6056190454629663,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier2,Medium-BS; cov 2/3; SS-led
10,5,ICAM1 / CD54,ITGB1,1,A,0.2396363527212077,,0.967,0.6033181763606038,2/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier2,High-BS; cov 2/3; SS-led
