Protein,UniProt_ID,BS_flag,Primary_evidence,Secondary_evidence,Localization_summary,Surface_evidence,EV_surface_evidence,Conflict_flag,BS_reason,Source_citations
ALDOA,P04075,Low,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cytoplasm, myofibril, sarcomere, I band . Cytoplasm, myofibril, sarcomere, M line . Note=In skeletal muscle, accumulates around the M line and within ",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Cytoplasm/myofibril only; no membrane/surface annotation.,UniProt:P04075 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
ANXA2,P07355,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Secreted, extracellular space, extracellular matrix, basement membrane . Melanosome . Note=In the lamina beneath the plasma membrane. Identified by ma",secreted/ECM,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,UniProt:P07355 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
BSG,P35613,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Melanosome . Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. .;  [Isoform 1]: Cell membrane ; Single-pass type ,"transmembrane,signal-peptide","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Single-pass type I cell-membrane glycoprotein (basigin/CD147).,UniProt:P35613 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
CD44,P16070,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cell membrane ; Single-pass type I membrane protein . Cell projection, microvillus . Secreted . Note=Colocalizes with actin in membrane protrusions at","transmembrane,signal-peptide,secreted/ECM","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Single-pass type I cell-membrane adhesion receptor; also secreted.,UniProt:P16070 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
EEF1A1,P68104,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cytoplasm . Nucleus . Nucleus, nucleolus . Cell membrane . Note=Colocalizes with DLC1 at actin-rich regions in the cell periphery (PubMed:19158340). T",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",True,Cytosolic translation factor; peripheral cell-membrane association (moonlighting).,UniProt:P68104 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
ENO1,P06733,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cytoplasm . Cell membrane . Cytoplasm, myofibril, sarcomere, M line . Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alp",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",True,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,UniProt:P06733 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
FN1,P02751,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Secreted, extracellular space, extracellular matrix . Secreted .","signal-peptide,secreted/ECM","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Canonical secreted ECM glycoprotein (signal peptide).,UniProt:P02751 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
GAPDH,P04406,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,"Cytoplasm, cytosol . Nucleus . Cytoplasm, perinuclear region . Membrane . Cytoplasm, cytoskeleton . Note=Translocates to the nucleus following S-nitro",none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",True,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,UniProt:P04406 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
HSP90AA1,P07900,Medium,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Nucleus . Cytoplasm . Melanosome . Cell membrane . Mitochondrion . Note=Identified by mass spectrometry in melanosome fractions from stage I to stage ,none,"not systematically retrieved (Vesiclepedia=EV presence, not surface)",True,Nuclear/cytosolic chaperone; documented extracellular/cell-membrane (eHSP90) form.,UniProt:P07900 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
ITGA6,P23229,High,UniProt subcellular location + topology,CSPA/SURFY surfaceome (canonical surface proteins) — not programmatically retrieved this build,Cell membrane ; Single-pass type I membrane protein . Cell membrane ; Lipid-anchor .,"transmembrane,signal-peptide","not systematically retrieved (Vesiclepedia=EV presence, not surface)",False,Single-pass type I cell-membrane integrin + lipid anchor.,UniProt:P23229 (rest.uniprot.org); Bausch-Fluck 2015 CSPA; Bausch-Fluck 2018 SURFY; Pathan 2019 Vesiclepedia
