Entry	Gene Names (primary)	Subcellular location [CC]	Transmembrane	Signal peptide	Lipidation	Keywords
P04075	ALDOA	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, I band {ECO:0000250|UniProtKB:P00883}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:P00883}. Note=In skeletal muscle, accumulates around the M line and within the I band, colocalizing with FBP2 on both sides of the Z line in the absence of Ca(2+). {ECO:0000250|UniProtKB:P00883}.				3D-structure;Acetylation;Alternative splicing;Cytoplasm;Direct protein sequencing;Disease variant;Glycogen storage disease;Glycolysis;Hereditary hemolytic anemia;Hydroxylation;Isopeptide bond;Lyase;Phosphoprotein;Proteomics identification;Reference proteome;Schiff base;Ubl conjugation
P07355	ANXA2	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.				3D-structure;Acetylation;Alternative splicing;Annexin;Basement membrane;Calcium;Calcium/phospholipid-binding;Direct protein sequencing;Extracellular matrix;Host-virus interaction;Isopeptide bond;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;RNA-binding;Secreted;Ubl conjugation
P35613	BSG	SUBCELLULAR LOCATION: Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:25957687}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Photoreceptor inner segment {ECO:0000250|UniProtKB:P18572}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:P18572}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11992541, ECO:0000269|PubMed:15688292, ECO:0000269|PubMed:15946952, ECO:0000269|PubMed:17127621, ECO:0000269|PubMed:21536654, ECO:0000269|PubMed:25825981, ECO:0000269|PubMed:26195724, ECO:0000269|PubMed:28409866, ECO:0000269|PubMed:29739904}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Endosome {ECO:0000269|PubMed:29739904}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:15688292}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}. Basolateral cell membrane {ECO:0000269|PubMed:17267690}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:21536654}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:21536654}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P26453}.	TRANSMEM 326..344; /note="Helical"; /evidence="ECO:0000269|PubMed:34625749, ECO:0000269|PubMed:38364890, ECO:0007744|PDB:7DCE, ECO:0007744|PDB:8XEJ"	SIGNAL 1..21; /evidence="ECO:0000269|PubMed:15340161"		3D-structure;Alternative promoter usage;Alternative splicing;Angiogenesis;Blood group antigen;Cell membrane;Cell projection;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Host cell receptor for virus entry;Host-virus interaction;Immunoglobulin domain;Lectin;Mannose-binding;Membrane;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix
P16070	CD44	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287, ECO:0000269|PubMed:40544280}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.	TRANSMEM 650..670; /note="Helical"; /evidence="ECO:0000255"	SIGNAL 1..20; /evidence="ECO:0000250"		3D-structure;Alternative splicing;Blood group antigen;Cell adhesion;Cell membrane;Cell projection;Direct protein sequencing;Disulfide bond;Glycoprotein;Membrane;Phosphoprotein;Proteoglycan;Proteomics identification;Receptor;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix
P68104	EEF1A1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19158340, ECO:0000269|PubMed:8650580}. Nucleus {ECO:0000269|PubMed:17177976, ECO:0000269|PubMed:8650580}. Nucleus, nucleolus {ECO:0000269|PubMed:8650580}. Cell membrane {ECO:0000269|PubMed:26497934}. Note=Colocalizes with DLC1 at actin-rich regions in the cell periphery (PubMed:19158340). Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens (PubMed:8650580). Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B (PubMed:26497934). {ECO:0000269|PubMed:19158340, ECO:0000269|PubMed:26497934, ECO:0000269|PubMed:8650580}.				3D-structure;Acetylation;Cell membrane;Cytoplasm;Direct protein sequencing;Elongation factor;GTP-binding;Host-virus interaction;Hydrolase;Isopeptide bond;Membrane;Methylation;Nucleotide-binding;Nucleus;Phosphoprotein;Protein biosynthesis;Proteomics identification;Reference proteome;Transcription;Transcription regulation;Ubl conjugation
P06733	ENO1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10802057}. Cell membrane {ECO:0000269|PubMed:10802057}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:10802057}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. ENO1 is localized to the M line.; SUBCELLULAR LOCATION: [Isoform MBP-1]: Nucleus.				3D-structure;Acetylation;Alternative initiation;Cell membrane;Cytoplasm;Direct protein sequencing;DNA-binding;Glycolysis;Hydroxylation;Isopeptide bond;Lyase;Magnesium;Membrane;Metal-binding;Nucleus;Phosphoprotein;Plasminogen activation;Proteomics identification;Reference proteome;Repressor;Transcription;Transcription regulation;Ubl conjugation
P02751	FN1	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:29100092}. Secreted {ECO:0000250|UniProtKB:P11276}.		SIGNAL 1..31; /evidence="ECO:0000269|PubMed:6630202"		3D-structure;Acute phase;Alternative splicing;Angiogenesis;Cell adhesion;Cell shape;Direct protein sequencing;Disease variant;Disulfide bond;Dwarfism;Extracellular matrix;Glycoprotein;Heparin-binding;Isopeptide bond;Oxidation;Phosphoprotein;Proteomics identification;Pyrrolidone carboxylic acid;Reference proteome;Repeat;Secreted;Signal;Sulfation
P04406	GAPDH	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12829261}. Nucleus {ECO:0000250|UniProtKB:P04797}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12829261}. Membrane {ECO:0000269|PubMed:12829261}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P04797}. Note=Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal (By similarity). Postnuclear and Perinuclear regions (PubMed:12829261). {ECO:0000250|UniProtKB:P04797, ECO:0000269|PubMed:12829261}.				3D-structure;Acetylation;ADP-ribosylation;Alternative splicing;Apoptosis;Cytoplasm;Cytoskeleton;Direct protein sequencing;Glycolysis;Glycoprotein;Immunity;Innate immunity;Isopeptide bond;Membrane;Methylation;NAD;Nucleus;Oxidation;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;S-nitrosylation;Transferase;Translation regulation;Ubl conjugation
P07900	HSP90AA1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P07901}. Cytoplasm {ECO:0000250|UniProtKB:P07901}. Melanosome {ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:11276205}. Mitochondrion {ECO:0000269|PubMed:25609812}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.				3D-structure;Acetylation;Alternative splicing;ATP-binding;Cell membrane;Chaperone;Cytoplasm;Direct protein sequencing;Host-virus interaction;Hydrolase;Membrane;Mitochondrion;Nucleotide-binding;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;S-nitrosylation;Stress response;Ubl conjugation
P23229	ITGA6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22314500}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:22314500}; Lipid-anchor {ECO:0000269|PubMed:22314500}.	TRANSMEM 1051..1076; /note="Helical"; /evidence="ECO:0000255"	SIGNAL 1..23; /evidence="ECO:0000269|PubMed:1953640, ECO:0000269|PubMed:2542022, ECO:0000269|PubMed:2649503"	LIPID 1078; /note="S-palmitoyl cysteine; by DHHC3"; /evidence="ECO:0000269|PubMed:15611341, ECO:0000269|PubMed:22314500"	3D-structure;Alternative splicing;Calcium;Cell adhesion;Cell membrane;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Epidermolysis bullosa;Glycoprotein;Integrin;Lipoprotein;Membrane;Metal-binding;Palmitate;Phosphoprotein;Proteomics identification;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix
