Target No.,Receptor,Group,Protein,ipTM_N,pTM_N,median_PAE_N,mean_pLDDT_N,AFS_A_hypothesis,AFS_B_balanced,AFS_C_interface,AFS_D_PAE_aware,AFS_E_AFmultimer
1,TROP2 / TACSTD2,1,ANXA2,0.515625,0.90625,0.9831903945111492,0.9194725849304144,0.7244619469162346,0.767371466641792,0.6808912979441564,0.7471790873952713,0.59375
1,TROP2 / TACSTD2,2,LGALS3BP,0.234375,0.4999999999999999,0.2857632933104631,0.7278475331859705,0.369229123974465,0.38507978863998815,0.34198608264964336,0.36040616198068964,0.2875
1,TROP2 / TACSTD2,3,SDCBP,0.15625,0.578125,0.4281303602058318,0.5220473434830813,0.33627665555333697,0.3709644235636286,0.30439277036889134,0.3526745563894745,0.240625
1,TROP2 / TACSTD2,4,FN1,0.2499999999999999,0.0,0.0034305317324185,0.5188934274415637,0.20334859387609727,0.1785201204627182,0.20223239591739817,0.16507544909064004,0.19999999999999993
1,TROP2 / TACSTD2,5,MFGE8,0.09375,0.2343749999999999,0.239451114922813,0.6845145130046748,0.23234484418912316,0.2466611499352638,0.19552156279274874,0.21712292428503005,0.12187499999999998
1,TROP2 / TACSTD2,6,GAPDH,0.375,0.96875,0.9948542024013722,0.9757295242849346,0.676837559002946,0.7375177691230147,0.6158083726686306,0.707481292908768,0.49375
1,TROP2 / TACSTD2,7,LDHA,0.390625,0.96875,0.979073756432247,0.9394819341751002,0.676845853591102,0.7351745414127144,0.6199805690607347,0.7077316947039595,0.50625
1,TROP2 / TACSTD2,8,PGK1,0.5625,0.9375,0.9619210977701544,0.9917453958065372,0.7617999740365038,0.8005210289250115,0.720366649357669,0.7790587591346846,0.6375
1,TROP2 / TACSTD2,9,ALDOA,0.1875,0.953125,1.0,0.9570986333086888,0.5779397949963034,0.6568460449963034,0.49883486333086885,0.6183661133308689,0.34062500000000007
1,TROP2 / TACSTD2,10,ENO1,0.328125,1.0,0.9962264150943396,1.0,0.6634964622641509,0.7304952830188679,0.596497641509434,0.6969015330188679,0.4625
2,EGFR,1,ANXA2,0.0625,0.3281249999999999,0.2514579759862779,0.8326792219858691,0.25949557969582204,0.2822247284951359,0.21153871979721467,0.24371576739584247,0.11562499999999998
2,EGFR,2,LGALS3BP,0.09375,0.2656249999999999,0.1217838765008576,0.7365121276074754,0.22874440061624993,0.23873984444129281,0.19520460041083326,0.20660173806091903,0.128125
2,EGFR,3,FN1,0.390625,0.1249999999999999,0.0068610634648371,0.5431550335757253,0.30281491455608434,0.27034546772932616,0.3143766097040562,0.2627189660505399,0.33749999999999997
2,EGFR,4,MFGE8,0.0625,0.28125,0.1862778730703258,0.7522278304542673,0.22827585552868895,0.24540224918220527,0.1876005703524593,0.2109158576594919,0.10625000000000001
2,EGFR,5,SDCBP,0.09375,0.3124999999999999,0.2284734133790738,0.6976628764942395,0.24829544348099697,0.26596911414995067,0.2113636289873313,0.2357734703252387,0.13749999999999998
2,EGFR,6,GAPDH,0.0625,0.2656249999999999,0.1890222984562607,0.9221550912524656,0.2510516084563089,0.267533973379122,0.20174273897087264,0.22455121881649867,0.10312499999999998
2,EGFR,7,LDHA,0.21875,0.3124999999999999,0.2655231560891938,0.8809823715732578,0.3438508291493677,0.3508769869538274,0.3084005527662451,0.3177653683751645,0.2375
2,EGFR,8,PKM,0.0781249999999999,0.3437499999999999,0.1663807890222984,0.8807118966575137,0.2648764028519717,0.2825704423030867,0.22033426856798116,0.24244109747021098,0.1312499999999999
2,EGFR,9,TPI1,0.1875,0.375,0.3543739279588337,0.908180481167492,0.35813316136894885,0.37585185776689056,0.3137554409126326,0.3398178337085159,0.22500000000000003
2,EGFR,10,PGK1,0.0625,0.28125,0.21852487135506,0.859899407113137,0.24926364177022953,0.26800238533798254,0.2015924278468197,0.22813241498232573,0.10625000000000001
3,EpCAM / EPCAM,1,ANXA2,1.0,0.8906249999999999,0.848713550600343,0.9048902566576532,0.9411655710886995,0.9281324986187166,0.9534853807257996,0.9328879857858339,0.978125
3,EpCAM / EPCAM,2,LGALS3BP,0.234375,0.4531249999999999,0.2902229845626072,0.7361471366442307,0.36176801818102566,0.375497917409156,0.3338870121206838,0.35040931057694447,0.27812499999999996
