Target No.,Receptor,Group,Protein,af_source,n_chains,Median PAE,interface_PAE,interface_PAE_block
1,TROP2 / TACSTD2,1,ANXA2,AF2,2,2.94,8.063188010899182,18.836777812895072
1,TROP2 / TACSTD2,2,LGALS3BP,AF2,2,23.27,19.58613445378151,26.524022573752415
1,TROP2 / TACSTD2,3,SDCBP,AF2,2,19.12,20.265644171779144,24.64335989932886
1,TROP2 / TACSTD2,4,FN1,AF3,2,31.5,30.020065430752453,31.34204565211626
1,TROP2 / TACSTD2,5,MFGE8,AF2,2,24.62,19.262818897637793,27.37076706676669
1,TROP2 / TACSTD2,6,GAPDH,AF2,2,2.6,8.55099173553719,19.828882196162045
1,TROP2 / TACSTD2,7,LDHA,AF2,2,3.06,8.40911111111111,19.511518932874353
1,TROP2 / TACSTD2,8,PGK1,AF2,2,3.56,7.083258426966292,17.298695614936623
1,TROP2 / TACSTD2,9,ALDOA,AF2,2,2.45,13.486964285714285,22.740778551805334
1,TROP2 / TACSTD2,10,ENO1,AF2,2,2.56,10.394805194805196,21.45254814022383
2,EGFR,1,ANXA2,AF2,2,24.27,22.07932291666667,28.763391214094696
2,EGFR,2,LGALS3BP,AF2,2,28.05,26.39140132669983,29.811532529556686
2,EGFR,3,FN1,AF3,2,31.4,27.31399743754004,30.48954458537929
2,EGFR,4,MFGE8,AF2,2,26.17,24.306294416243656,29.177937171524125
2,EGFR,5,SDCBP,AF2,2,24.94,24.393090315560393,28.827032227734005
2,EGFR,6,GAPDH,AF2,2,26.09,25.59718619246862,29.446186483043725
2,EGFR,7,LDHA,AF2,2,23.86,23.23189926547744,27.43683058320238
2,EGFR,8,PKM,AF2,2,26.75,25.583072916666666,29.490116117919275
2,EGFR,9,TPI1,AF2,2,21.27,22.491264367816093,27.25313236844318
2,EGFR,10,PGK1,AF2,2,25.23,25.4026493256262,29.09525305359577
3,EpCAM / EPCAM,1,ANXA2,AF2,2,6.86,6.464664371772806,10.968864245837294
3,EpCAM / EPCAM,2,LGALS3BP,AF2,2,23.14,17.93179233621755,26.486576260439897
3,EpCAM / EPCAM,3,SDCBP,AF2,2,24.03,19.628592592592593,25.805475483942537
3,EpCAM / EPCAM,4,FN1,AF3,2,31.5,30.01305616338439,31.223019401131925
3,EpCAM / EPCAM,5,CD44,AF2,2,30.39,22.375637198622275,28.851525805095317
3,EpCAM / EPCAM,6,GAPDH,AF2,2,19.23,22.440467937608318,27.223030220796847
3,EpCAM / EPCAM,7,ALDOA,AF2,2,18.92,20.975973597359733,26.247683623194984
3,EpCAM / EPCAM,8,ENO1,AF2,2,8.665,19.25147928994083,25.314312707087627
3,EpCAM / EPCAM,9,EEF1A1,AF2,2,22.61,20.64177556818182,26.74596087796501
3,EpCAM / EPCAM,10,PKM,AF2,2,16.23,22.12976714100905,26.803149717514117
4,Tissue Factor / F3,1,FN1,AF3,2,31.3,29.669391495601175,30.945582064153562
4,Tissue Factor / F3,2,THBS1,AF2,2,29.84,27.112771699489425,29.781148310660832
4,Tissue Factor / F3,3,ANXA2,AF2,2,15.7,12.596039426523298,22.956644172357596
4,Tissue Factor / F3,4,MFGE8,AF2,2,24.02,20.08089108910891,27.084739635364627
4,Tissue Factor / F3,5,LGALS3BP,AF2,2,25.23,25.034020356234098,28.727785468660663
4,Tissue Factor / F3,6,GAPDH,AF2,2,18.77,18.173537906137184,28.573450214680022
4,Tissue Factor / F3,7,LDHA,AF2,2,15.77,16.04803992740472,25.860063679375028
4,Tissue Factor / F3,8,PGK1,AF2,2,8.575,19.49688679245283,26.645990112019973
4,Tissue Factor / F3,9,TPI1,AF2,2,18.44,18.655662393162398,23.97790852909354
4,Tissue Factor / F3,10,ALDOA,AF2,2,15.27,19.821269296740994,25.486603693110542
5,ICAM1 / CD54,1,ITGB1,AF2,2,28.83,26.23052540913006,29.826002388346364
5,ICAM1 / CD54,2,ITGA6,AF2,2,28.2,26.600006925207758,30.189473540005746
5,ICAM1 / CD54,3,FN1,AF3,2,31.5,31.107237064592493,31.50000571928408
5,ICAM1 / CD54,4,MFGE8,AF2,2,23.7,22.826817625459,28.172206838415445
5,ICAM1 / CD54,5,THBS1,AF2,2,30.2,27.317071651090345,30.27444925420042
5,ICAM1 / CD54,6,GAPDH,AF2,2,26.14,26.956992385786798,30.13961675068367
5,ICAM1 / CD54,7,LDHA,AF2,2,24.34,24.448076433121017,29.13807252187558
5,ICAM1 / CD54,8,ENO1,AF2,2,26.78,27.020687711386696,29.967419532863353
5,ICAM1 / CD54,9,PKM,AF2,2,27.23,27.758191056910565,30.383219611462398
5,ICAM1 / CD54,10,TKT,AF2,2,19.94,19.872899628252785,27.14225454345738
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,AF3,3,31.3,26.50723668497731,30.77075218324373
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,AF3,3,18.2,28.5551263710062,30.487610348006097
