Target No.,Receptor,Group,Protein,rank_A_hypothesis,rank_B_balanced,rank_C_interface,rank_D_PAE_aware,rank_E_AFmultimer,rank_min,rank_max,rank_range,rank_median,in_top10_count,in_top20_count
3,EpCAM / EPCAM,1,ANXA2,1,1,1,1,1,1,1,0,1.0,5,5
12,PD-L1 / CD274,10,TPI1,2,2,2,2,2,2,2,0,2.0,5,5
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,3,5,3,5,3,3,5,2,3.0,5,5
1,TROP2 / TACSTD2,8,PGK1,4,3,8,3,10,3,10,7,4.0,5,5
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,5,9,4,6,4,4,9,5,5.0,5,5
1,TROP2 / TACSTD2,1,ANXA2,6,4,10,4,13,4,13,9,6.0,4,5
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,7,10,6,9,6,6,10,4,7.0,5,5
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,8,11,7,10,6,6,11,5,8.0,4,5
13,CD44,5,LGALS3BP,9,12,5,12,5,5,12,7,9.0,3,5
1,TROP2 / TACSTD2,7,LDHA,10,7,13,7,22,7,22,15,10.0,3,4
1,TROP2 / TACSTD2,6,GAPDH,11,6,15,8,23,6,23,17,11.0,2,4
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,12,14,9,13,9,9,14,5,12.0,2,5
1,TROP2 / TACSTD2,10,ENO1,13,8,16,11,24,8,24,16,13.0,1,4
9,TEM8 / ANTXR1,5,ANXA2,14,15,14,14,16,14,16,2,14.0,0,5
15,MET / c-MET,8,PGK1,15,16,12,15,12,12,16,4,15.0,0,5
17,RON / MST1R,5,THBS1,16,20,11,19,8,8,20,12,16.0,1,5
8,GLUT5 / SLC2A5,2,BSG,17,17,17,17,19,17,19,2,17.0,0,5
1,TROP2 / TACSTD2,9,ALDOA,18,13,25,16,32,13,32,19,18.0,0,3
12,PD-L1 / CD274,7,ENO1,20,18,26,18,30,18,30,12,20.0,0,3
9,TEM8 / ANTXR1,3,MFGE8,19,19,20,20,20,19,20,1,20.0,0,5
16,ROR1,5,MFGE8,21,21,18,21,11,11,21,10,21.0,0,2
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,22,23,19,22,14,14,23,9,22.0,0,2
12,PD-L1 / CD274,3,SDCBP,23,22,22,23,20,20,23,3,22.0,0,1
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,24,26,21,24,15,15,26,11,24.0,0,1
