Target No.,Receptor,Group,Protein,Mean pLDDT,Max PAE,Mean PAE,Median PAE,PAE Range(min-max),pTM,ipTM,ipTM_N,pTM_N,mean_pLDDT_N,median_PAE_N
1,TROP2 / TACSTD2,1,ANXA2,88.59457765667575,31.61,7.647051132609194,2.94,0.75-31.61,0.86,0.46,0.515625,0.9062499999999999,0.9194725849304143,0.9831903945111492
1,TROP2 / TACSTD2,2,LGALS3BP,79.65220888355343,31.69,19.00250029903919,23.27,0.75-31.69,0.6,0.28,0.23437500000000003,0.4999999999999999,0.7278475331859705,0.28576329331046313
1,TROP2 / TACSTD2,3,SDCBP,70.04834355828221,31.58,16.31160563062215,19.12,0.75-31.58,0.65,0.23,0.15625,0.578125,0.5220473434830813,0.42813036020583184
1,TROP2 / TACSTD2,4,FN1,69.90116300925708,31.7,29.68928709179613,31.5,0.8-31.7,0.28,0.29,0.24999999999999994,0.0,0.5188934274415637,0.0034305317324185847
1,TROP2 / TACSTD2,5,MFGE8,77.630031496063,31.67,19.93161790563581,24.62,0.75-31.67,0.43,0.19,0.09375,0.23437499999999994,0.6845145130046748,0.239451114922813
1,TROP2 / TACSTD2,6,GAPDH,91.21986225895316,31.34,5.274280672995923,2.6,0.75-31.34,0.9,0.37,0.375,0.96875,0.9757295242849346,0.9948542024013722
1,TROP2 / TACSTD2,7,LDHA,89.52833333333334,31.55,5.829924845679013,3.06,0.75-31.55,0.9,0.38,0.390625,0.96875,0.9394819341751002,0.979073756432247
1,TROP2 / TACSTD2,8,PGK1,91.9672584269663,31.16,5.198520843327862,3.56,0.75-31.16,0.88,0.49,0.5625,0.9375,0.9917453958065371,0.9619210977701543
1,TROP2 / TACSTD2,9,ALDOA,90.35043367346938,31.16,5.978811823198667,2.45,0.75-31.16,0.89,0.25,0.1875,0.953125,0.9570986333086888,1.0
1,TROP2 / TACSTD2,10,ENO1,92.35246753246754,31.33,4.978307190644855,2.56,0.75-31.33,0.92,0.34,0.328125,1.0,1.0,0.9962264150943396
2,EGFR,1,ANXA2,84.54428125000001,31.56,19.49002794053819,24.27,0.75-31.56,0.49,0.17,0.06250000000000001,0.32812499999999994,0.8326792219858691,0.25145797598627795
2,EGFR,2,LGALS3BP,80.05655058043118,31.7,22.76419078598165,28.05,0.75-31.7,0.45,0.19,0.09375,0.26562499999999994,0.7365121276074754,0.12178387650085765
2,EGFR,3,FN1,71.0333543751817,31.7,29.17528994907498,31.4,0.8-31.7,0.36,0.38,0.390625,0.12499999999999993,0.5431550335757253,0.006861063464837169
2,EGFR,4,MFGE8,80.78993908629441,31.69,21.10588785075627,26.17,0.75-31.69,0.46,0.17,0.06250000000000001,0.28125,0.7522278304542673,0.18627787307032584
2,EGFR,5,SDCBP,78.24361262241567,31.7,20.68845035468131,24.94,0.75-31.7,0.48,0.19,0.09375,0.31249999999999994,0.6976628764942395,0.2284734133790738
2,EGFR,6,GAPDH,88.71975941422593,31.7,20.36519169832461,26.09,0.75-31.7,0.45,0.17,0.06250000000000001,0.26562499999999994,0.9221550912524655,0.18902229845626073
2,EGFR,7,LDHA,86.79839454354669,31.58,19.44679353540869,23.86,0.75-31.58,0.48,0.27,0.21875000000000003,0.31249999999999994,0.8809823715732578,0.26552315608919386
2,EGFR,8,PKM,86.78577256944443,31.69,20.21741152162905,26.75,0.75-31.69,0.5,0.18,0.07812499999999999,0.34374999999999994,0.8807118966575137,0.16638078902229847
2,EGFR,9,TPI1,88.06762068965517,31.58,18.32850775531774,21.27,0.75-31.58,0.52,0.25,0.1875,0.375,0.908180481167492,0.3543739279588337
2,EGFR,10,PGK1,85.81453757225432,31.72,19.75853417903854,25.23,0.75-31.72,0.46,0.17,0.06250000000000001,0.28125,0.859899407113137,0.21852487135506005
3,EpCAM / EPCAM,1,ANXA2,87.91407917383822,31.56,8.521031191399482,6.86,0.75-31.56,0.85,0.77,1.0,0.8906249999999999,0.9048902566576531,0.848713550600343
3,EpCAM / EPCAM,2,LGALS3BP,80.03951792336218,31.55,19.06135453894002,23.14,0.75-31.55,0.57,0.28,0.23437500000000003,0.4531249999999999,0.7361471366442307,0.2902229845626072
3,EpCAM / EPCAM,3,SDCBP,71.10961111111112,31.7,19.25124814814815,24.03,0.75-31.7,0.52,0.21,0.12499999999999997,0.375,0.5447891309093376,0.2596912521440823
3,EpCAM / EPCAM,4,FN1,72.25582901310209,31.7,29.5343436592413,31.5,0.8-31.7,0.29,0.31,0.28125,0.015624999999999927,0.5693513101654202,0.0034305317324185847
3,EpCAM / EPCAM,5,CD44,45.68649827784157,31.7,26.76041339711406,30.39,0.75-31.7,0.36,0.32,0.296875,0.12499999999999993,0.0,0.04150943396226414
3,EpCAM / EPCAM,6,GAPDH,87.89024263431543,31.39,15.67688167747478,19.23,0.75-31.39,0.6,0.14,0.015625000000000014,0.4999999999999999,0.9043794660343463,0.4243567753001716
3,EpCAM / EPCAM,7,ALDOA,86.73138613861386,31.33,15.03797868400702,18.92,0.75-31.33,0.62,0.16,0.046875,0.5312499999999999,0.8795464557227327,0.4349914236706689
3,EpCAM / EPCAM,8,ENO1,89.29409763313609,31.52,13.78085790063373,8.665,0.75-31.52,0.68,0.2,0.10937500000000001,0.625,0.9344625227294882,0.7867924528301887
3,EpCAM / EPCAM,9,EEF1A1,77.46988636363636,31.48,18.5526441438533,22.61,0.75-31.48,0.46,0.24,0.17187499999999997,0.28125,0.6810827803098534,0.3084048027444254
3,EpCAM / EPCAM,10,PKM,82.26899094437259,31.64,16.14530658763005,16.23,0.75-31.64,0.65,0.18,0.07812499999999999,0.578125,0.7839222725006321,0.5272727272727273
4,Tissue Factor / F3,1,FN1,72.635284491321,31.7,29.28087696775481,31.3,0.8-31.7,0.29,0.32,0.296875,0.015624999999999927,0.5774826205031199,0.010291595197255643
4,Tissue Factor / F3,2,THBS1,74.00901531728665,31.7,24.35888426566565,29.84,0.75-31.7,0.49,0.24,0.17187499999999997,0.32812499999999994,0.6069201495613956,0.060377358490566135
4,Tissue Factor / F3,3,ANXA2,87.52001792114696,31.7,14.39495545406662,15.7,0.75-31.7,0.64,0.27,0.21875000000000003,0.5625,0.8964459607609769,0.5454545454545454
4,Tissue Factor / F3,4,MFGE8,80.09344884488448,31.48,19.28897722445512,24.02,0.75-31.48,0.45,0.23,0.15625,0.26562499999999994,0.7373028165193882,0.2600343053173242
4,Tissue Factor / F3,5,LGALS3BP,81.68484732824427,31.67,19.32991149181931,25.23,0.75-31.67,0.58,0.18,0.07812499999999999,0.4687499999999999,0.771404722228805,0.21852487135506005
4,Tissue Factor / F3,6,GAPDH,88.23449458483753,31.62,16.34341096586688,18.77,0.75-31.62,0.61,0.2,0.10937500000000001,0.5156249999999999,0.9117564037905032,0.4401372212692968
4,Tissue Factor / F3,7,LDHA,86.14012704174229,31.61,15.21230987381464,15.77,0.75-31.61,0.62,0.17,0.06250000000000001,0.5312499999999999,0.866876428584853,0.5430531732418525
4,Tissue Factor / F3,8,PGK1,87.97889937106919,31.64,14.63267876567383,8.575,0.75-31.64,0.66,0.18,0.07812499999999999,0.59375,0.9062792816423757,0.7898799313893654
4,Tissue Factor / F3,9,TPI1,87.8117094017094,31.55,14.33389815727957,18.44,0.75-31.55,0.58,0.22,0.140625,0.4687499999999999,0.9026965859000555,0.4514579759862778
4,Tissue Factor / F3,10,ALDOA,88.3996912521441,31.61,14.38596930174263,15.27,0.75-31.61,0.65,0.18,0.07812499999999999,0.578125,0.9152963852790519,0.5602058319039451
5,ICAM1 / CD54,1,ITGB1,82.32369509043927,31.69,23.03465188241745,28.83,0.75-31.69,0.45,0.18,0.07812499999999999,0.26562499999999994,0.7850945217207908,0.09502572898799322
5,ICAM1 / CD54,2,ITGA6,83.61469529085872,31.72,22.55285036083977,28.2,0.75-31.72,0.53,0.19,0.09375,0.390625,0.8127592251661493,0.11663807890222988
5,ICAM1 / CD54,3,FN1,71.8734413363732,31.7,29.68237736035926,31.5,0.8-31.7,0.29,0.21,0.12499999999999997,0.015624999999999927,0.561157166063485,0.0034305317324185847
5,ICAM1 / CD54,4,MFGE8,86.3694859241126,31.7,19.94935417662314,23.7,0.75-31.7,0.49,0.21,0.12499999999999997,0.32812499999999994,0.8717913352295397,0.2710120068610635
5,ICAM1 / CD54,5,THBS1,75.02618691588785,31.73,25.29010350054833,30.2,0.75-31.73,0.45,0.2,0.10937500000000001,0.26562499999999994,0.6287170095612629,0.04802744425385941
5,ICAM1 / CD54,6,GAPDH,90.64171319796954,31.64,19.45871437681981,26.14,0.75-31.64,0.46,0.14,0.015625000000000014,0.28125,0.9633404306859346,0.18730703259005144
5,ICAM1 / CD54,7,LDHA,89.80425477707006,31.62,19.11080339161832,24.34,0.75-31.62,0.46,0.19,0.09375,0.28125,0.9453946249033521,0.24905660377358496
5,ICAM1 / CD54,8,ENO1,91.24564825253664,31.64,18.98811144058802,26.78,0.75-31.64,0.53,0.16,0.046875,0.390625,0.9762820895481308,0.16535162950257287
5,ICAM1 / CD54,9,PKM,88.4847256097561,31.7,19.66750599015135,27.23,0.75-31.7,0.55,0.16,0.046875,0.421875,0.917118577316852,0.14991423670668957
5,ICAM1 / CD54,10,TKT,91.28079925650557,31.64,16.88373123989442,19.94,0.75-31.64,0.65,0.34,0.328125,0.578125,0.9770353366043986,0.4
6,αvβ3 integrin / ITGAV–ITGB3,1,FN1,69.26144402212539,31.7,27.84170849882859,31.3,0.8-31.7,0.51,0.44,0.484375,0.35937499999999994,0.5051849585647864,0.010291595197255643
6,αvβ3 integrin / ITGAV–ITGB3,2,MFGE8,77.39831446153846,31.7,19.36224647286616,18.2,0.8-31.7,0.69,0.61,0.75,0.6406249999999999,0.6795490737729254,0.45969125214408235
6,αvβ3 integrin / ITGAV–ITGB3,3,THBS1,75.19334591364516,31.7,23.9704146773727,30.6,0.8-31.7,0.59,0.5,0.578125,0.4843749999999999,0.6322990416164685,0.03430531732418529
6,αvβ3 integrin / ITGAV–ITGB3,4,ITGB1,75.18298426536252,31.7,22.40375078821047,27.9,0.8-31.7,0.61,0.51,0.59375,0.5156249999999999,0.6320770029778601,0.12692967409948552
6,αvβ3 integrin / ITGAV–ITGB3,5,ITGA6,75.03429355021753,31.7,22.32969317952992,25.9,0.8-31.7,0.61,0.52,0.609375,0.5156249999999999,0.6288907257501509,0.195540308747856
6,αvβ3 integrin / ITGAV–ITGB3,6,GAPDH,81.21875304907796,31.7,21.35219705053411,25.1,0.8-31.7,0.54,0.22,0.140625,0.40625,0.7614168384108747,0.22298456260720412
6,αvβ3 integrin / ITGAV–ITGB3,7,PGK1,80.73775111709617,31.7,17.33070977861152,16.3,0.8-31.7,0.74,0.68,0.859375,0.7187499999999999,0.751109500115654,0.5248713550600344
6,αvβ3 integrin / ITGAV–ITGB3,8,ALDOA,80.53623435935936,31.7,18.49032006687938,16.1,0.8-31.7,0.71,0.63,0.78125,0.6718749999999999,0.7467912193437009,0.5317324185248713
6,αvβ3 integrin / ITGAV–ITGB3,9,LDHA,80.51081834304536,31.7,18.39125499668565,16.0,0.8-31.7,0.71,0.63,0.78125,0.6718749999999999,0.7462465822833343,0.5351629502572899
6,αvβ3 integrin / ITGAV–ITGB3,10,ENO1,80.61165365765112,31.7,17.53426342082729,16.5,0.8-31.7,0.72,0.65,0.8125,0.6874999999999999,0.7484073713168925,0.5180102915951973
7,MUC1,1,LGALS3BP,59.19084695512821,31.7,28.55498058128754,31.4,0.8-31.7,0.35,0.2,0.10937500000000001,0.10937499999999992,0.2893832249278302,0.006861063464837169
7,MUC1,2,ANXA2,57.94463297118563,31.7,28.33602997578325,31.3,0.8-31.7,0.32,0.18,0.07812499999999999,0.062499999999999965,0.26267824046382393,0.010291595197255643
7,MUC1,3,FN1,60.31063977798336,31.7,30.4123648844245,31.6,0.8-31.7,0.29,0.27,0.21875000000000003,0.015624999999999927,0.31337914402564576,0.0
7,MUC1,4,MFGE8,59.50188748396555,31.7,28.22444729317873,31.2,0.8-31.7,0.28,0.2,0.10937500000000001,0.0,0.2960484787263786,0.013722126929674117
7,MUC1,5,THBS1,63.8868731162461,31.7,28.99266757374734,31.6,0.8-31.7,0.37,0.18,0.07812499999999999,0.14062499999999994,0.39001386083072376,0.0
7,MUC1,6,GAPDH,60.3982969935645,31.7,27.71183693135504,31.4,0.8-31.7,0.33,0.31,0.28125,0.07812499999999999,0.31525754100274167,0.006861063464837169
7,MUC1,7,PKM,62.96427530160859,31.7,27.47105219893572,31.4,0.8-31.7,0.39,0.18,0.07812499999999999,0.17187499999999997,0.3702436122025748,0.006861063464837169
7,MUC1,8,TPI1,56.4511372026251,31.7,27.76478183758838,31.3,0.8-31.7,0.29,0.22,0.140625,0.015624999999999927,0.2306742814243901,0.010291595197255643
7,MUC1,9,PGK1,60.51684483228798,31.7,26.99778958931722,31.2,0.8-31.7,0.38,0.42,0.45312499999999994,0.15624999999999997,0.3177978897968841,0.013722126929674117
7,MUC1,10,EEF1A1,56.21629441179051,31.7,28.42409819387288,31.4,0.8-31.7,0.31,0.21,0.12499999999999997,0.04687499999999995,0.2256418606992744,0.006861063464837169
8,GLUT5 / SLC2A5,1,SLC3A2,84.05359696641386,31.66,15.85236855418703,19.12,0.75-31.66,0.61,0.29,0.24999999999999994,0.5156249999999999,0.8221644016269732,0.42813036020583184
8,GLUT5 / SLC2A5,2,BSG,84.2295516811955,31.67,15.33568937468305,14.31,0.75-31.67,0.68,0.46,0.515625,0.625,0.8259349161494847,0.5931389365351629
